iter	RMSE
0	0.5
1	0.4642957604
2	0.4626632811
3	0.4602513244
4	0.4417590406
5	0.4417366398
6	0.4417366362
7	0.4337631925
8	0.4337584328
9	0.4337569718
10	0.4337565234
11	0.4323779833
12	0.4276504051
13	0.4246528295
14	0.4246527848
15	0.4246527711
16	0.4246104799
17	0.4230315929
18	0.4219161128
19	0.4219160197
20	0.4219159911
21	0.4219159823
22	0.4219159796
23	0.4204160847
24	0.4204160393
25	0.4166581243
26	0.4166580628
27	0.4162855953
28	0.4112240995
29	0.4080515149
30	0.4077185807
31	0.4075485418
32	0.4072435403
33	0.4050185925
34	0.4050185186
35	0.4048430966
36	0.4025475072
37	0.4025376235
38	0.4025243629
39	0.4000490711
40	0.3988563879
41	0.397982966
42	0.392022129
43	0.39202212
44	0.3912338805
45	0.3848402899
46	0.3846778671
47	0.3846774214
48	0.3846772847
49	0.3844446559
50	0.3839624776
51	0.3839623413
52	0.3779370792
53	0.3777775592
54	0.3763981862
55	0.3763615147
56	0.3762571799
57	0.3762571198
58	0.3762273533
59	0.3762273523
60	0.3762273521
61	0.376227352
62	0.3762273519
63	0.3762273519
64	0.3746707893
65	0.3746702911
66	0.3740299236
67	0.3738676149
68	0.373866709
69	0.3738045919
70	0.3738045919
71	0.373540237
72	0.3723240792
73	0.3723028279
74	0.3723028044
75	0.3697281165
76	0.3697202682
77	0.367382488
78	0.3673794722
79	0.3673785466
80	0.3673782625
81	0.3673781753
82	0.3673781485
83	0.367291504
84	0.3672914996
85	0.3672914983
86	0.3672914979
87	0.3672914978
88	0.356735935
89	0.3539288537
90	0.353928846
91	0.353736238
92	0.3380115306
93	0.3380109426
94	0.3380009611
95	0.3377322915
96	0.3377319492
97	0.3377318442
98	0.3368231539
99	0.3368230406
100	0.3368230058
101	0.3365464417
102	0.3365358808
103	0.335853521
104	0.3325837274
105	0.3323889922
106	0.3323887723
107	0.3307364572
108	0.3307364265
109	0.3307364171
110	0.3306687873
111	0.3306687847
112	0.3306408762
113	0.3306408758
114	0.3306359413
115	0.3306359409
116	0.330631429
117	0.3297691328
118	0.3297665605
119	0.3297665557
120	0.3296215131
121	0.3296215121
122	0.3296215118
123	0.3295765615
124	0.3295765565
125	0.329576555
126	0.3295765545
127	0.3294986119
128	0.3284385579
129	0.3283532835
130	0.3283531688
131	0.3283531336
132	0.3282767028
133	0.3282766926
134	0.3282766894
135	0.3282766884
136	0.3282766881
137	0.328276688
138	0.3280049698
139	0.3280049308
140	0.3275683254
141	0.3275360986
142	0.3272512916
143	0.3272512897
144	0.3272512891
145	0.3272512889
146	0.3272082093
147	0.3272082066
148	0.3268276286
149	0.3257153315
150	0.3257148258
151	0.3257073097
152	0.3230251855
153	0.3205558318
154	0.3202629977
155	0.3202619268
156	0.320261925
157	0.3158597127
158	0.3158579895
159	0.3155839508
160	0.3155839448
161	0.3138767371
162	0.3138766772
163	0.3138766588
164	0.313830781
