iter	Passed	Remaining
0	1	1822
1	3	1601
2	4	1524
3	5	1479
4	7	1486
5	8	1472
6	10	1464
7	11	1445
8	12	1423
9	14	1415
10	15	1402
11	16	1393
12	18	1388
13	19	1385
14	21	1386
15	22	1381
16	23	1375
17	25	1367
18	26	1359
19	27	1350
20	28	1342
21	30	1341
22	31	1340
23	32	1334
24	34	1327
25	35	1322
26	36	1317
27	37	1317
28	39	1313
29	40	1308
30	41	1305
31	43	1303
32	44	1300
33	45	1297
34	46	1293
35	48	1295
36	49	1294
37	51	1292
38	52	1291
39	53	1292
40	55	1289
41	56	1285
42	57	1282
43	58	1280
44	60	1280
45	61	1279
46	62	1277
47	64	1274
48	65	1275
49	67	1276
50	68	1275
51	69	1271
52	71	1270
53	72	1268
54	73	1265
55	74	1262
56	76	1259
57	77	1256
58	78	1254
59	79	1251
60	81	1248
61	82	1248
62	83	1246
63	85	1243
64	86	1241
65	87	1239
66	88	1236
67	90	1235
68	91	1234
69	92	1232
70	94	1230
71	95	1228
72	96	1226
73	97	1224
74	99	1223
75	100	1220
76	101	1218
77	102	1216
78	104	1214
79	105	1212
80	106	1210
81	107	1209
82	109	1206
83	110	1204
84	112	1206
85	113	1211
86	115	1211
87	116	1211
88	118	1210
89	119	1209
90	121	1211
91	122	1208
92	123	1207
93	125	1205
94	129	1231
95	130	1229
96	131	1227
97	133	1224
98	134	1222
99	135	1219
100	136	1217
101	138	1215
