iter	RMSE
0	29.75723787
1	29.62275267
2	29.52144014
3	29.44808098
4	29.38871044
5	29.33444318
6	29.290212
7	29.2536442
8	29.22200532
9	29.19589699
10	29.16563493
11	29.14282589
12	29.124068
13	29.09200254
14	29.07724661
15	29.06190967
16	29.05195691
17	29.03039499
18	29.01337804
19	29.00323172
20	28.99112777
21	28.97611576
22	28.96288652
23	28.9486548
24	28.9398758
25	28.92782098
26	28.91693929
27	28.90188596
28	28.89490125
29	28.88390056
30	28.87547618
31	28.86315822
32	28.85397688
33	28.84785372
34	28.84110144
35	28.8342865
36	28.82624069
37	28.82004793
38	28.81393358
39	28.80806388
40	28.80246765
41	28.79433334
42	28.78969526
43	28.78240335
44	28.77650446
45	28.76862505
46	28.76381885
47	28.75990271
48	28.75278321
49	28.74432477
50	28.73532822
51	28.72886123
52	28.72288905
53	28.7155518
54	28.70809116
55	28.70036305
56	28.69542446
57	28.68768101
58	28.68388756
59	28.67880375
60	28.67387449
61	28.67050182
62	28.66330719
63	28.65827215
64	28.65446371
65	28.64908599
66	28.64565767
67	28.64182365
68	28.63743047
69	28.63311241
70	28.62883648
71	28.62516247
72	28.62086588
73	28.61688293
74	28.61282828
75	28.60956896
76	28.60440543
77	28.59900661
78	28.59504227
79	28.59224501
80	28.58768432
81	28.58328378
82	28.58028568
83	28.57707094
84	28.5745867
85	28.56973509
86	28.56468022
87	28.56027175
88	28.55472208
89	28.55223558
90	28.5478665
91	28.54386026
92	28.53977774
93	28.53696258
94	28.53250983
95	28.52966912
96	28.52738144
97	28.52450798
98	28.52140863
99	28.51678884
100	28.51410326
101	28.51183747
102	28.50751512
103	28.50361994
104	28.5008242
105	28.49802594
106	28.49427531
107	28.49196308
108	28.4901993
109	28.48760203
110	28.48366635
111	28.48152652
112	28.47829378
113	28.47524453
114	28.47146412
115	28.46860092
116	28.46601646
117	28.46137631
118	28.45793084
119	28.45489723
120	28.45181029
121	28.44890061
122	28.44657515
123	28.44398807
124	28.44004615
125	28.43734439
126	28.43498867
127	28.43169572
128	28.42963015
129	28.42785013
130	28.42614223
131	28.42378475
132	28.42240241
133	28.41940149
134	28.41573959
135	28.41316693
136	28.41028661
137	28.40875043
138	28.40544134
139	28.40237654
140	28.40029248
141	28.39834225
142	28.39514567
