iter	Passed	Remaining
0	165	165522
1	178	89149
2	194	64505
3	209	52188
4	225	44961
5	241	40028
6	257	36463
7	270	33518
8	283	31242
9	296	29325
10	308	27748
11	320	26428
12	335	25477
13	351	24747
14	367	24107
15	381	23453
16	395	22897
17	410	22374
18	425	21953
19	438	21509
20	453	21133
21	468	20805
22	483	20522
23	497	20236
24	512	19980
25	525	19693
26	539	19437
27	554	19239
28	569	19058
29	583	18869
30	598	18718
31	613	18553
32	627	18398
33	642	18264
34	657	18136
35	674	18068
36	689	17942
37	705	17851
38	720	17746
39	735	17649
40	750	17548
41	763	17425
42	780	17366
43	795	17279
44	810	17205
45	822	17050
46	835	16932
47	850	16871
48	864	16774
49	879	16705
50	894	16647
51	910	16598
52	926	16553
53	941	16486
54	956	16433
55	972	16394
56	988	16345
57	1003	16295
58	1018	16245
59	1032	16179
60	1048	16147
61	1062	16074
62	1079	16058
63	1093	15990
64	1106	15920
65	1124	15906
66	1141	15895
67	1155	15841
68	1171	15801
69	1186	15763
70	1200	15709
71	1215	15663
72	1229	15618
73	1243	15564
74	1258	15516
75	1271	15456
76	1284	15401
77	1297	15337
78	1311	15287
79	1325	15242
80	1342	15235
81	1356	15184
82	1371	15149
83	1383	15084
84	1395	15022
85	1406	14948
86	1417	14879
87	1428	14803
88	1442	14766
89	1456	14722
90	1470	14687
91	1486	14666
92	1501	14643
93	1514	14601
94	1528	14565
95	1544	14548
96	1558	14508
97	1573	14482
98	1586	14438
99	1600	14406
100	1613	14366
101	1627	14329
102	1642	14300
103	1655	14261
104	1668	14220
105	1682	14193
106	1696	14162
107	1710	14124
108	1723	14085
109	1736	14046
110	1749	14011
111	1764	13988
112	1777	13952
113	1789	13911
114	1802	13873
115	1815	13835
116	1828	13796
117	1843	13777
118	1857	13750
119	1871	13720
120	1884	13689
121	1897	13658
122	1910	13618
123	1922	13578
124	1933	13533
125	1945	13493
126	1962	13487
127	1977	13474
128	1993	13458
129	2007	13432
130	2019	13397
131	2034	13379
132	2048	13356
133	2064	13341
134	2079	13323
135	2094	13303
136	2108	13281
137	2120	13248
138	2136	13235
139	2150	13213
140	2165	13189
141	2182	13188
142	2198	13172
143	2211	13145
144	2225	13124
145	2239	13100
146	2251	13066
147	2264	13034
148	2299	13132
149	2313	13108
150	2334	13127
151	2352	13125
152	2368	13114
153	2381	13082
154	2393	13049
155	2407	13025
156	2419	12992
157	2431	12957
158	2443	12923
159	2455	12892
160	2467	12860
161	2483	12845
162	2496	12820
163	2509	12792
164	2522	12763
165	2535	12739
166	2548	12710
167	2562	12692
168	2577	12674
169	2590	12646
170	2603	12623
171	2618	12606
172	2632	12583
173	2649	12578
174	2665	12564
175	2679	12547
176	2693	12522
177	2705	12495
178	2718	12469
179	2732	12447
180	2745	12424
181	2759	12400
182	2774	12387
183	2789	12369
184	2802	12348
185	2817	12329
186	2831	12310
187	2847	12298
188	2862	12281
189	2876	12262
190	2892	12250
191	2907	12234
192	2922	12220
193	2937	12203
194	2950	12181
195	2963	12155
196	2974	12125
197	2986	12097
198	2997	12066
199	3009	12038
200	3023	12017
201	3034	11988
202	3045	11958
203	3058	11932
204	3069	11904
205	3080	11874
206	3092	11847
207	3104	11822
208	3116	11795
209	3129	11773
210	3142	11749
211	3153	11723
212	3165	11696
213	3178	11672
214	3191	11651
215	3203	11629
216	3216	11604
217	3228	11581
218	3240	11556
219	3251	11529
220	3263	11504
221	3276	11481
222	3288	11459
