iter	RMSE
0	4000.192707
1	3963.084422
2	3926.421952
3	3890.049214
4	3853.710223
5	3818.226297
6	3782.960855
7	3747.666609
8	3713.231552
9	3678.790527
10	3644.995831
11	3611.63546
12	3578.897495
13	3545.983275
14	3513.640641
15	3481.427612
16	3449.605791
17	3418.503465
18	3387.397147
19	3357.010052
20	3326.656698
21	3296.976297
22	3267.650726
23	3238.22756
24	3209.48681
25	3180.583974
26	3152.262627
27	3124.400979
28	3096.893129
29	3069.487669
30	3042.295105
31	3015.594144
32	2989.258178
33	2962.828248
34	2937.393364
35	2911.877309
36	2886.264782
37	2860.963782
38	2836.236336
39	2811.738229
40	2787.742338
41	2763.867686
42	2739.899198
43	2716.608194
44	2693.515583
45	2670.460036
46	2647.765307
47	2625.266429
48	2603.237007
49	2581.55919
50	2559.687637
51	2538.24203
52	2517.349768
53	2496.087699
54	2475.141274
55	2454.719641
56	2434.407598
57	2414.071649
58	2393.982422
59	2374.027444
60	2354.108358
61	2334.325187
62	2315.676204
63	2297.090686
64	2278.616891
65	2259.753886
66	2242.069968
67	2224.322148
68	2206.763177
69	2189.136582
70	2172.470035
71	2155.141791
72	2137.601377
73	2120.700651
74	2104.274003
75	2087.391003
76	2071.480337
77	2055.347353
78	2039.216214
79	2023.318828
80	2007.769635
81	1992.684173
82	1977.085634
83	1961.871317
84	1947.087758
85	1932.656448
86	1918.085077
87	1903.549023
88	1889.592934
89	1875.873843
90	1862.004227
91	1848.381314
92	1834.743117
93	1821.443377
94	1808.256972
95	1795.301724
96	1782.311569
97	1769.956781
98	1757.712764
99	1745.26463
100	1733.18139
101	1721.488077
102	1709.170907
103	1697.618439
104	1686.045363
105	1674.52636
106	1663.243351
107	1652.009513
108	1640.770569
109	1629.486574
110	1619.006674
111	1608.040792
112	1597.355863
113	1586.821139
114	1576.291532
115	1566.456798
116	1556.315801
117	1546.288757
118	1536.537336
119	1527.179659
120	1517.609761
121	1508.033117
122	1498.525845
123	1489.292146
124	1479.799901
125	1470.964832
126	1462.325512
127	1453.563494
128	1444.814334
129	1436.12155
130	1427.282083
131	1419.058287
132	1410.729961
133	1402.736579
134	1394.796177
135	1386.712842
136	1378.917133
137	1370.953571
138	1363.317036
139	1355.642104
140	1348.11298
141	1340.397712
142	1332.854879
143	1325.5677
144	1318.314232
145	1311.102828
146	1304.089041
147	1297.04357
148	1290.289855
149	1283.861832
150	1277.175017
151	1270.611602
152	1263.962671
153	1257.85839
154	1251.748845
155	1245.603252
156	1239.655288
157	1233.40325
158	1227.070047
159	1221.051389
160	1214.82643
161	1208.820225
162	1203.092255
163	1197.051957
164	1191.216256
165	1185.663718
166	1180.138459
167	1174.90777
168	1169.343353
169	1163.652619
170	1158.39575
171	1153.09313
172	1148.300885
173	1142.883673
174	1137.830351
175	1132.732145
176	1127.670321
177	1122.583388
178	1117.773966
179	1113.085282
180	1108.115273
181	1103.313801
182	1098.648452
183	1093.837514
184	1089.247924
185	1084.648066
186	1080.125138
187	1075.456768
188	1071.13884
189	1067.215822
190	1062.909581
191	1058.987107
192	1054.853554
193	1050.898411
194	1046.885239
195	1043.017764
196	1039.286304
197	1035.494483
198	1032.07923
199	1028.501304
200	1024.688912
201	1021.294017
202	1017.70302
203	1014.279314
204	1010.537308
205	1006.809267
206	1003.551653
207	1000.32833
208	996.7119908
209	993.0344014
210	989.8903022
211	986.4305967
212	983.0871471
213	979.6783831
214	976.5690743
215	973.5472866
216	970.5682148
217	967.6780878
218	964.6486851
219	961.8544185
220	958.8188192
221	955.7039101
222	952.8007141
223	949.7937746
224	947.1234452
225	944.4843758
226	941.5355152
227	938.9812438
228	936.3938771
229	933.7276317
230	930.8153786
231	928.1702218
232	925.6025881
233	923.0663643
234	920.739717
235	918.1931401
236	915.8776012
237	913.7822994
238	911.2348977
239	908.8068988
240	906.2899657
241	903.6400555
242	901.0346364
243	898.8958709
244	896.7261707
245	894.5924004
246	892.4797873
247	890.4711209
248	888.1427908
249	885.8143577
250	883.5635824
251	881.1651837
252	879.3393608
253	877.1986824
254	875.0014499
255	873.0159787
256	871.0780053
257	869.1048088
258	867.1580315
259	865.1596157
260	863.4447942
261	861.7488793
262	859.7343784
263	857.9976805
264	856.2733756
265	854.4553541
266	852.527715
267	850.7411769
268	849.0338968
269	847.0186358
270	845.0376418
271	843.5899242
272	842.0084405
273	840.3685375
274	838.7027634
275	837.1246587
276	835.6249731
277	833.8650903
278	832.3535148
279	830.8483699
280	829.307533
281	827.8898747
282	826.4438579
283	824.9231798
284	823.4315467
285	822.0537282
286	820.8470096
287	819.2290228
288	817.8572529
289	816.528838
290	815.2640159
291	813.7030994
292	812.3334077
293	811.055443
294	809.8095317
295	808.5634776
296	807.4529551
297	806.0185391
298	804.7315167
299	803.461764
300	802.2585708
301	801.0738191
302	799.8427247
303	798.7551512
304	797.5593647
305	796.4492373
306	795.2452255
307	794.2175619
308	793.1100466
309	791.9957194
310	790.6520562
311	789.5506958
312	788.4142455
313	787.3197343
314	786.3812299
315	785.3042999
316	784.396892
317	783.4038331
318	782.4893512
319	781.4698991
320	780.4604226
321	779.4915385
322	778.5004546
323	777.5517363
324	776.6296798
325	775.516681
326	774.5307732
327	773.6249755
328	772.7442539
329	771.8322353
330	770.9089281
331	770.0993258
332	769.2482524
333	768.1969109
334	767.455656
335	766.5110745
336	765.6421284
337	764.8527412
338	763.8928074
339	763.0899673
340	762.3032175
341	761.5681792
342	760.7111259
343	759.9914559
344	759.0081729
345	758.1760804
346	757.4058446
347	756.6735461
348	756.0403068
349	755.2448403
350	754.4721397
351	753.6934134
352	752.9519913
353	752.1751044
354	751.4165006
355	750.7817355
356	750.1136282
357	749.4958676
358	748.8867933
359	748.1805248
360	747.5909306
361	746.8008876
362	746.1659498
363	745.4785785
364	744.7948938
365	744.2355946
366	743.622441
367	742.8528208
368	742.2522302
369	741.7293572
370	741.1950654
371	740.6500957
372	739.9766281
373	739.3672793
374	738.8138595
375	738.2244876
376	737.4554224
377	736.7010933
378	736.1937178
379	735.6661829
380	735.0808786
381	734.4639253
382	733.9859667
383	733.3911836
384	732.7987431
385	732.0855534
386	731.5391131
387	731.0201656
388	730.5229513
389	729.8277573
390	729.2318454
391	728.7445741
392	728.2739459
393	727.7933183
394	727.2851517
395	726.7654639
396	726.2997334
397	725.7041529
398	725.0512006
399	724.5226029
400	724.1230878
401	723.6333219
402	723.0813313
403	722.5776708
404	722.0991801
405	721.6776339
406	721.1706702
407	720.7571366
408	720.134148
409	719.6291501
410	719.2323245
411	718.7309668
412	718.3288117
