iter	Logloss
0	0.6884917504
1	0.683494241
2	0.6802372891
3	0.6773655172
4	0.6748430038
5	0.672399707
6	0.6701386648
7	0.6674239395
8	0.6659557557
9	0.6649048923
10	0.6636120939
11	0.6620841669
12	0.6607891628
13	0.6593362299
14	0.6577541684
15	0.6564480098
16	0.6550218605
17	0.6539169256
18	0.6531342766
19	0.6516534257
20	0.6505012886
21	0.6499183509
22	0.6485464621
23	0.6475956749
24	0.6464666663
25	0.6450751782
26	0.6439247427
27	0.6433150843
28	0.6418599457
29	0.641072066
30	0.6403064324
31	0.6391452835
32	0.6384773944
33	0.6373985499
34	0.6363632525
35	0.6355952242
36	0.634656978
37	0.6336582324
38	0.6320462992
39	0.6310418818
40	0.6301207771
41	0.628955973
42	0.6280791716
43	0.6270856567
44	0.6261397851
45	0.6249296694
46	0.6243217756
47	0.6234503309
48	0.6228217665
49	0.6222009536
50	0.6210931198
51	0.620416786
52	0.619615798
53	0.6190563038
54	0.6186452855
55	0.6181753431
56	0.6172352694
57	0.616889414
58	0.6160165829
59	0.6148454768
60	0.6135719626
61	0.6127777178
62	0.6119535384
63	0.6112555886
64	0.610393345
65	0.6092986194
66	0.6086157945
67	0.607366039
68	0.606012174
69	0.6052755928
70	0.6041240229
71	0.6033142121
72	0.6017971876
73	0.6004371466
74	0.599270956
75	0.5983441795
76	0.5970744466
77	0.5954994434
78	0.5943219092
79	0.5933406202
80	0.5920644592
81	0.5906228069
82	0.589856039
83	0.589033183
84	0.5882456813
85	0.5877395023
86	0.5871168618
87	0.5863746088
88	0.5853420212
89	0.5844526788
90	0.5834591008
91	0.5823346297
92	0.5817192995
93	0.5808836504
94	0.5806194063
95	0.5796083087
96	0.5781314281
97	0.5768529353
98	0.576088184
99	0.5749071837
