iter	Passed	Remaining
0	2	280
1	5	278
2	8	273
3	11	266
4	13	256
5	17	268
6	19	263
7	22	258
8	24	252
9	27	248
10	30	245
11	33	243
12	35	238
13	38	236
14	41	233
15	43	230
16	46	227
17	49	224
18	51	221
19	54	219
20	57	216
21	60	212
22	63	210
23	65	207
24	68	205
25	70	202
26	73	199
27	76	195
28	78	192
29	81	189
30	84	186
31	86	184
32	89	181
33	92	178
34	94	175
35	97	172
36	99	169
37	102	167
38	105	164
39	107	161
40	110	158
41	112	156
42	115	153
43	118	151
44	121	148
45	123	145
46	126	142
47	129	140
48	132	137
49	134	134
50	137	131
51	140	129
52	143	127
53	146	124
54	148	121
55	151	119
56	154	116
57	156	113
58	159	110
59	162	108
60	164	105
61	167	102
62	170	99
63	172	97
64	175	94
65	178	91
66	180	89
67	183	86
68	186	83
69	188	80
70	191	78
71	194	75
72	197	73
73	200	70
74	202	67
75	205	64
76	208	62
77	211	59
78	214	56
79	216	54
80	219	51
81	222	48
82	225	46
83	227	43
84	230	40
85	233	37
86	235	35
87	239	32
88	241	29
89	244	27
90	247	24
91	250	21
92	252	19
93	255	16
94	257	13
95	260	10
96	263	8
97	265	5
98	284	2
99	287	0
