iter	Passed	Remaining
0	1	19692
1	4	22238
2	6	20107
3	7	19029
4	10	20189
5	13	22044
6	30	43283
7	31	39602
8	33	36783
9	35	34979
10	36	33004
11	38	31966
12	40	30801
13	42	30104
14	43	29196
15	45	28431
16	47	27630
17	64	36035
18	83	43701
19	85	42550
20	86	41266
21	107	48883
22	110	47775
23	111	46411
24	113	45109
25	125	48059
26	126	46779
27	144	51505
28	146	50252
29	148	49447
30	150	48238
31	152	47576
32	173	52462
33	176	51622
34	189	54075
35	200	55472
36	219	59187
37	222	58304
38	227	58037
39	231	57696
40	232	56596
41	237	56329
42	238	55294
43	240	54500
44	245	54299
45	263	56976
46	275	58329
47	294	60987
48	295	60065
49	298	59490
50	300	58613
51	302	57797
52	303	56953
53	304	56132
54	306	55379
55	310	55145
56	317	55318
57	319	54722
58	321	54137
59	323	53588
60	324	52885
61	326	52395
62	329	51962
63	330	51335
64	332	50807
65	351	52929
66	352	52316
67	355	51860
68	357	51406
69	359	51006
70	379	53041
71	381	52575
72	400	54478
73	402	54007
74	403	53439
75	422	55202
76	435	56116
77	437	55646
78	443	55748
79	445	55199
80	447	54743
81	454	54923
82	473	56555
83	493	58214
84	494	57728
85	499	57568
86	501	57112
87	506	57006
88	507	56502
89	508	56001
90	510	55627
91	513	55290
92	516	54974
93	523	55128
94	525	54841
95	531	54829
96	534	54576
97	542	54782
98	544	54411
99	545	54050
100	549	53845
101	553	53690
102	554	53296
103	575	54768
104	577	54432
105	580	54181
106	584	54003
107	586	53744
108	599	54374
109	601	54038
110	602	53682
111	605	53425
112	609	53340
113	611	53051
114	615	52864
115	617	52589
116	618	52272
117	622	52091
118	623	51755
119	624	51425
120	626	51129
121	631	51148
122	636	51142
123	638	50861
124	640	50581
125	660	51739
126	662	51482
127	663	51196
128	666	50986
129	667	50702
130	669	50419
131	670	50123
132	689	51121
133	691	50878
134	711	51960
135	712	51690
136	713	51396
137	725	51823
138	727	51609
139	732	51575
140	733	51319
141	752	52231
142	756	52121
143	758	51907
144	759	51649
145	761	51395
146	781	52353
147	785	52321
148	787	52052
149	789	51820
150	791	51617
151	793	51400
152	812	52274
153	815	52149
154	817	51896
155	834	52633
156	853	53479
157	854	53223
158	855	52971
159	857	52734
160	859	52542
161	861	52312
162	880	53161
163	899	53951
164	904	53897
165	905	53641
166	908	53498
167	911	53342
168	913	53138
169	917	53024
170	919	52869
171	922	52739
172	931	52887
173	932	52682
174	953	53540
175	956	53392
176	958	53219
177	960	52997
178	962	52802
179	964	52593
180	985	53436
181	1003	54128
182	1020	54730
183	1021	54494
184	1022	54257
185	1025	54090
186	1030	54078
187	1035	54051
188	1055	54780
189	1056	54553
190	1076	55266
191	1078	55085
192	1085	55153
193	1086	54926
194	1088	54755
195	1090	54560
196	1092	54342
197	1093	54134
198	1095	53959
199	1097	53788
200	1099	53625
201	1101	53411
202	1104	53280
203	1105	53071
204	1107	52930
205	1110	52817
206	1113	52692
207	1115	52506
208	1120	52470
209	1122	52320
210	1139	52885
211	1142	52751
212	1144	52588
213	1149	52584
214	1151	52428
215	1154	52296
216	1158	52219
217	1159	52034
218	1166	52120
219	1168	51938
220	1171	51833
221	1174	51738
222	1177	51643
223	1198	52292
224	1217	52900
225	1220	52772
226	1221	52609
227	1226	52588
228	1228	52406
229	1246	52969
230	1248	52815
231	1250	52642
232	1271	53304
233	1273	53132
234	1274	52964
235	1276	52793
236	1278	52653
237	1296	53185
238	1319	53871
239	1320	53704
240	1321	53527
241	1324	53410
242	1325	53233
243	1328	53100
244	1329	52944
245	1332	52825
246	1352	53407
247	1355	53303
248	1357	53179
249	1370	53445
250	1374	53398
251	1376	53240
252	1379	53135
253	1381	53007
254	1382	52838
255	1383	52670
256	1402	53159
257	1414	53392
258	1416	53268
259	1417	53113
260	1428	53315
261	1430	53162
262	1449	53664
263	1453	53588
264	1454	53447
265	1456	53288
266	1457	53139
267	1463	53135
268	1465	53029
269	1467	52896
270	1469	52751
271	1479	52931
272	1481	52783
273	1483	52652
274	1484	52514
275	1491	52558
276	1493	52428
277	1494	52281
278	1496	52152
279	1499	52040
280	1500	51894
281	1503	51795
282	1504	51658
283	1523	52136
284	1525	52008
285	1526	51864
286	1530	51801
287	1532	51670
288	1534	51546
289	1535	51421
290	1537	51289
291	1538	51166
292	1556	51552
293	1557	51425
294	1559	51292
295	1560	51155
296	1566	51184
297	1572	51188
298	1575	51110
299	1576	50980
300	1593	51334
301	1612	51789
302	1614	51659
303	1616	51548
304	1618	51431
305	1628	51583
306	1630	51480
307	1631	51343
308	1633	51232
309	1636	51142
310	1637	51018
311	1639	50912
312	1652	51148
313	1655	51069
314	1657	50952
315	1659	50846
316	1660	50712
317	1663	50646
318	1666	50569
319	1668	50470
320	1671	50412
321	1692	50868
322	1693	50748
323	1695	50642
324	1697	50527
325	1699	50428
326	1700	50305
327	1714	50566
328	1717	50491
329	1718	50366
330	1720	50254
331	1721	50142
332	1725	50078
333	1743	50469
334	1747	50407
335	1750	50336
336	1751	50218
337	1753	50121
338	1777	50642
339	1798	51088
340	1820	51557
341	1822	51470
342	1824	51372
343	1839	51648
344	1842	51551
345	1844	51453
346	1845	51330
347	1846	51207
348	1857	51374
349	1875	51722
350	1877	51625
351	1880	51538
352	1882	51440
353	1883	51334
354	1885	51215
355	1888	51153
356	1890	51053
357	1891	50937
358	1909	51292
359	1912	51207
360	1928	51499
361	1932	51445
362	1936	51410
363	1939	51348
364	1942	51284
365	1944	51192
366	1947	51106
367	1949	51017
368	1950	50904
369	1951	50800
370	1953	50700
371	1971	51023
372	1973	50922
373	1974	50811
374	1991	51124
375	2006	51361
376	2009	51304
377	2011	51196
378	2012	51084
379	2015	51028
380	2018	50953
381	2028	51079
382	2047	51414
383	2065	51734
384	2072	51770
385	2075	51685
386	2077	51604
387	2079	51509
388	2098	51848
389	2116	52149
390	2122	52171
391	2129	52188
392	2139	52289
393	2140	52193
394	2152	52332
395	2153	52237
396	2155	52133
397	2156	52033
398	2158	51941
399	2159	51836
400	2163	51789
401	2175	51943
402	2177	51851
403	2178	51747
404	2180	51651
405	2181	51545
406	2182	51450
407	2184	51353
408	2186	51276
409	2188	51184
410	2206	51470
411	2212	51494
412	2214	51409
413	2215	51308
414	2217	51206
415	2229	51357
416	2230	51255
417	2231	51161
418	2232	51060
419	2234	50967
420	2235	50869
421	2237	50773
422	2254	51053
423	2256	50953
424	2257	50869
425	2260	50791
426	2261	50695
427	2268	50724
428	2270	50646
429	2271	50559
430	2274	50488
431	2275	50397
432	2277	50331
433	2280	50263
434	2299	50563
435	2303	50530
436	2304	50436
437	2305	50342
438	2307	50246
439	2324	50513
440	2327	50456
441	2329	50363
442	2342	50534
443	2347	50515
444	2349	50449
445	2353	50404
446	2355	50334
447	2373	50602
448	2375	50531
449	2377	50451
450	2379	50379
451	2380	50291
452	2383	50241
453	2385	50154
454	2388	50115
455	2390	50034
456	2403	50194
457	2405	50122
458	2407	50048
459	2410	49982
460	2416	49994
461	2418	49923
462	2419	49836
463	2439	50132
464	2441	50062
465	2442	49981
466	2444	49891
467	2446	49819
468	2464	50080
469	2467	50024
470	2468	49943
471	2479	50058
472	2481	49980
473	2488	50012
474	2490	49931
475	2491	49854
476	2493	49783
477	2500	49807
478	2503	49759
479	2505	49697
480	2506	49611
481	2519	49749
482	2537	50004
483	2542	49982
484	2544	49913
485	2545	49836
486	2564	50091
487	2565	50011
488	2569	49985
489	2572	49929
490	2573	49848
491	2580	49869
492	2583	49813
493	2584	49731
494	2586	49669
495	2588	49592
496	2590	49527
497	2591	49452
498	2593	49376
499	2595	49323
500	2600	49296
501	2601	49222
502	2603	49154
503	2607	49137
504	2628	49413
505	2629	49341
506	2634	49324
507	2638	49307
508	2650	49420
509	2669	49672
510	2670	49594
511	2688	49818
512	2690	49762
513	2692	49688
514	2694	49621
515	2695	49543
516	2700	49540
517	2718	49755
518	2734	49960
519	2738	49922
520	2740	49855
521	2741	49784
522	2743	49709
523	2745	49643
524	2747	49586
525	2765	49817
526	2767	49743
527	2774	49764
528	2788	49927
529	2790	49855
530	2792	49797
531	2795	49747
532	2796	49676
533	2815	49906
534	2833	50131
535	2852	50369
536	2863	50464
537	2870	50480
538	2872	50425
539	2874	50354
540	2875	50277
541	2876	50198
542	2880	50172
543	2885	50148
544	2886	50071
545	2887	49998
546	2889	49938
547	2892	49887
548	2895	49839
549	2898	49801
550	2899	49729
551	2901	49658
552	2902	49589
553	2904	49515
554	2907	49485
555	2908	49410
556	2910	49338
557	2911	49268
558	2913	49214
559	2924	49304
560	2942	49512
561	2944	49452
562	2946	49384
563	2965	49609
564	2968	49571
565	2985	49767
566	2988	49714
567	3006	49928
568	3007	49855
569	3009	49791
570	3011	49724
571	3012	49656
572	3023	49743
573	3035	49848
574	3052	50039
575	3071	50259
576	3073	50190
577	3076	50155
578	3078	50089
579	3079	50018
580	3098	50231
581	3105	50250
582	3107	50188
583	3109	50129
584	3110	50057
585	3112	50001
586	3113	49934
587	3115	49867
588	3116	49801
589	3118	49742
590	3132	49868
591	3138	49880
592	3141	49832
593	3143	49776
594	3159	49947
595	3161	49875
596	3165	49853
597	3185	50081
598	3191	50091
599	3209	50275
600	3210	50205
601	3212	50155
602	3215	50107
603	3216	50036
604	3226	50108
605	3228	50049
606	3238	50113
607	3239	50049
608	3241	49980
609	3243	49929
610	3261	50118
611	3262	50049
612	3280	50240
613	3283	50192
614	3284	50125
615	3286	50068
616	3303	50239
617	3304	50169
618	3307	50132
619	3310	50086
620	3311	50020
621	3321	50081
622	3323	50022
623	3326	49979
624	3327	49913
625	3329	49862
626	3331	49802
627	3334	49768
628	3353	49962
629	3355	49912
630	3357	49852
631	3358	49784
632	3361	49749
633	3381	49960
634	3393	50046
635	3410	50214
636	3413	50171
637	3414	50107
638	3415	50040
639	3417	49974
640	3421	49955
641	3423	49895
642	3425	49841
643	3443	50021
644	3445	49967
645	3446	49910
646	3465	50100
647	3467	50036
648	3472	50037
649	3478	50041
650	3480	49980
651	3481	49920
652	3483	49860
653	3484	49795
654	3486	49737
655	3504	49922
656	3506	49863
657	3510	49833
658	3511	49769
659	3512	49705
660	3513	49647
661	3516	49598
662	3518	49550
663	3520	49496
664	3522	49441
665	3540	49614
666	3558	49786
667	3559	49732
668	3562	49685
669	3565	49652
670	3566	49588
671	3577	49654
672	3580	49621
673	3597	49777
674	3604	49792
675	3608	49775
676	3609	49713
677	3614	49702
678	3616	49641
679	3618	49594
680	3620	49542
681	3622	49491
682	3624	49444
683	3625	49382
684	3626	49319
685	3628	49263
686	3630	49208
687	3647	49369
688	3666	49546
689	3668	49501
690	3670	49450
691	3671	49388
692	3673	49332
693	3679	49345
694	3698	49512
695	3700	49465
696	3701	49403
697	3702	49342
698	3703	49280
699	3706	49249
700	3708	49194
701	3718	49246
702	3722	49226
703	3724	49177
704	3725	49116
705	3743	49283
706	3745	49229
707	3756	49306
708	3775	49473
709	3784	49521
710	3786	49465
711	3787	49405
712	3789	49357
713	3790	49301
714	3807	49443
715	3808	49384
716	3810	49335
717	3812	49284
718	3819	49299
719	3821	49260
720	3838	49405
721	3840	49347
722	3858	49504
723	3859	49446
724	3864	49439
725	3866	49396
726	3868	49337
727	3885	49484
728	3887	49436
729	3890	49406
730	3892	49355
731	3902	49405
732	3903	49348
733	3905	49300
734	3906	49246
735	3908	49196
736	3911	49155
737	3912	49104
738	3914	49053
739	3920	49063
740	3940	49233
741	3945	49230
742	3946	49172
743	3962	49302
744	3964	49251
745	3967	49212
746	3968	49162
747	3969	49104
748	3971	49048
749	3972	48994
750	3973	48937
751	3992	49096
752	3993	49040
753	3995	48991
754	3996	48934
755	4016	49108
756	4018	49060
757	4019	49009
758	4021	48958
759	4022	48903
760	4041	49060
761	4043	49018
762	4045	48971
763	4049	48955
764	4051	48905
765	4055	48887
766	4057	48842
767	4058	48789
768	4060	48740
769	4062	48691
770	4064	48652
771	4065	48600
772	4068	48564
773	4086	48710
774	4089	48672
775	4092	48645
776	4093	48595
777	4095	48549
778	4097	48503
779	4098	48449
780	4100	48401
781	4101	48352
782	4103	48306
783	4105	48259
784	4107	48221
785	4110	48182
786	4114	48171
787	4116	48120
788	4117	48070
789	4119	48020
790	4120	47971
791	4122	47931
792	4124	47881
793	4125	47830
794	4142	47970
795	4161	48115
796	4162	48068
797	4164	48019
798	4165	47971
799	4166	47919
800	4170	47891
801	4171	47839
802	4172	47787
803	4173	47739
804	4175	47696
805	4188	47783
806	4191	47743
807	4192	47695
808	4193	47647
809	4195	47601
810	4197	47558
811	4214	47686
812	4215	47639
813	4217	47598
814	4219	47550
815	4220	47500
816	4238	47639
817	4240	47594
818	4241	47550
819	4244	47522
820	4255	47574
821	4257	47536
822	4259	47493
823	4261	47452
824	4262	47408
825	4280	47543
826	4300	47702
827	4303	47667
828	4322	47822
829	4340	47954
830	4341	47905
831	4343	47862
832	4344	47813
833	4346	47775
834	4348	47728
835	4350	47687
836	4351	47638
837	4370	47781
838	4372	47747
839	4374	47707
840	4377	47670
841	4379	47632
842	4398	47777
843	4399	47732
844	4404	47721
845	4408	47706
846	4414	47705
847	4418	47688
848	4423	47676
849	4425	47637
850	4442	47755
851	4459	47887
852	4461	47842
853	4479	47976
854	4482	47949
855	4485	47913
856	4488	47883
857	4490	47843
858	4491	47794
859	4494	47762
860	4496	47726
861	4497	47678
862	4499	47638
863	4509	47684
864	4527	47811
865	4528	47766
866	4531	47738
867	4533	47690
868	4537	47679
869	4539	47638
870	4558	47780
871	4563	47769
872	4565	47726
873	4566	47682
874	4568	47638
875	4569	47590
876	4571	47559
877	4573	47514
878	4574	47471
879	4576	47425
880	4578	47385
881	4580	47349
882	4581	47306
883	4588	47318
884	4590	47279
885	4591	47234
886	4593	47193
887	4594	47146
888	4596	47112
889	4607	47158
890	4627	47307
891	4630	47280
892	4633	47249
893	4638	47241
894	4639	47195
895	4645	47203
896	4647	47164
897	4648	47120
898	4670	47278
899	4672	47246
900	4677	47239
901	4679	47197
902	4680	47157
903	4682	47114
904	4683	47068
905	4684	47023
906	4686	46981
907	4705	47116
908	4707	47079
909	4708	47036
910	4711	47009
911	4731	47151
912	4741	47195
913	4760	47326
914	4765	47315
915	4767	47280
916	4769	47239
917	4786	47357
918	4788	47313
919	4789	47271
920	4801	47330
921	4802	47284
922	4804	47245
923	4806	47208
924	4807	47168
925	4809	47133
926	4828	47256
927	4830	47223
928	4831	47177
929	4835	47161
930	4837	47118
931	4839	47087
932	4844	47075
933	4846	47045
934	4848	47006
935	4850	46972
936	4851	46929
937	4854	46897
938	4855	46852
939	4857	46816
940	4860	46794
941	4862	46758
942	4864	46716
943	4883	46847
944	4885	46808
945	4886	46767
946	4887	46725
947	4893	46727
948	4895	46692
949	4913	46804
950	4915	46769
951	4919	46760
952	4936	46865
953	4938	46827
954	4941	46800
955	4943	46764
956	4944	46724
957	4945	46682
958	4947	46642
959	4965	46756
960	4967	46722
961	4968	46680
962	4985	46781
963	4986	46739
964	4988	46704
965	4990	46671
966	4992	46632
967	4993	46596
968	4995	46556
969	4997	46520
970	4999	46487
971	5001	46456
972	5002	46414
973	5005	46385
974	5009	46374
975	5011	46337
976	5013	46298
977	5020	46311
978	5021	46275
979	5023	46239
980	5025	46202
981	5027	46169
982	5029	46135
983	5030	46093
984	5031	46052
985	5048	46151
986	5058	46190
987	5059	46154
988	5062	46126
989	5064	46090
990	5065	46051
991	5068	46024
992	5070	45995
993	5091	46132
994	5093	46094
995	5099	46101
996	5102	46074
997	5104	46038
998	5123	46158
999	5137	46234
1000	5138	46195
1001	5142	46184
1002	5160	46292
1003	5163	46263
1004	5164	46222
1005	5166	46185
1006	5167	46152
1007	5169	46113
1008	5170	46075
1009	5172	46036
1010	5173	45997
1011	5175	45962
1012	5176	45921
1013	5178	45892
1014	5179	45853
1015	5182	45823
1016	5183	45788
1017	5186	45762
1018	5188	45729
1019	5189	45691
1020	5193	45669
1021	5194	45633
1022	5198	45614
1023	5217	45732
1024	5218	45693
1025	5219	45654
1026	5221	45623
1027	5223	45591
1028	5226	45561
1029	5227	45523
1030	5230	45501
1031	5248	45606
1032	5251	45585
1033	5263	45641
1034	5265	45606
1035	5280	45686
1036	5281	45648
1037	5282	45609
1038	5283	45572
1039	5287	45553
1040	5290	45527
1041	5291	45488
1042	5293	45461
1043	5294	45422
1044	5296	45388
1045	5297	45349
1046	5299	45316
1047	5301	45288
1048	5304	45258
1049	5310	45264
1050	5312	45233
1051	5315	45208
1052	5317	45179
1053	5323	45186
1054	5325	45153
1055	5326	45117
1056	5328	45079
1057	5344	45169
1058	5346	45136
1059	5364	45244
1060	5366	45211
1061	5368	45178
1062	5385	45274
1063	5387	45244
1064	5389	45212
1065	5390	45174
1066	5407	45267
1067	5424	45369
1068	5426	45333
1069	5427	45294
1070	5438	45337
1071	5439	45302
1072	5441	45268
1073	5442	45233
1074	5443	45196
1075	5445	45165
1076	5447	45129
1077	5448	45092
1078	5450	45061
1079	5464	45135
1080	5466	45103
1081	5474	45122
1082	5476	45094
1083	5478	45061
1084	5480	45028
1085	5482	45003
1086	5485	44980
1087	5487	44948
1088	5488	44912
1089	5490	44879
1090	5492	44851
1091	5512	44966
1092	5513	44931
1093	5514	44895
1094	5525	44934
1095	5526	44899
1096	5529	44874
1097	5530	44839
1098	5548	44939
1099	5551	44913
1100	5553	44884
1101	5554	44851
1102	5573	44953
1103	5575	44924
1104	5589	44994
1105	5591	44964
1106	5593	44934
1107	5595	44903
1108	5596	44866
1109	5613	44957
1110	5615	44928
1111	5622	44936
1112	5623	44900
1113	5627	44887
1114	5645	44986
1115	5647	44954
1116	5650	44933
1117	5651	44897
1118	5654	44880
1119	5659	44869
1120	5662	44848
1121	5663	44814
1122	5664	44779
1123	5666	44748
1124	5676	44782
1125	5683	44788
1126	5687	44780
1127	5690	44759
1128	5692	44728
1129	5694	44697
1130	5695	44663
1131	5696	44627
1132	5697	44591
1133	5702	44583
1134	5709	44590
1135	5713	44583
1136	5716	44561
1137	5734	44654
1138	5751	44747
1139	5753	44717
1140	5771	44808
1141	5773	44783
1142	5775	44750
1143	5779	44741
1144	5780	44706
1145	5797	44787
1146	5798	44755
1147	5800	44725
1148	5813	44782
1149	5816	44761
1150	5817	44727
1151	5822	44721
1152	5827	44715
1153	5828	44680
1154	5831	44655
1155	5834	44634
1156	5836	44605
1157	5838	44579
1158	5839	44546
1159	5840	44512
1160	5843	44491
1161	5845	44460
1162	5846	44426
1163	5848	44393
1164	5849	44360
1165	5863	44423
1166	5866	44406
1167	5868	44375
1168	5870	44346
1169	5871	44315
1170	5874	44289
1171	5890	44368
1172	5891	44338
1173	5893	44309
1174	5896	44283
1175	5902	44286
1176	5903	44255
1177	5905	44224
1178	5908	44203
1179	5909	44169
1180	5914	44162
1181	5915	44134
1182	5932	44212
1183	5934	44188
1184	5935	44155
1185	5940	44148
1186	5942	44121
1187	5944	44094
1188	5950	44095
1189	5951	44061
1190	5953	44033
1191	5954	44002
1192	5956	43974
1193	5961	43970
1194	5964	43950
1195	5966	43924
1196	5968	43892
1197	5969	43859
1198	5970	43828
1199	5972	43794
1200	5973	43762
1201	5974	43732
1202	5976	43702
1203	5977	43669
1204	5996	43768
1205	5998	43739
1206	5999	43707
1207	6009	43741
1208	6014	43731
1209	6016	43706
1210	6036	43809
1211	6038	43782
1212	6039	43751
1213	6057	43840
1214	6075	43926
1215	6076	43895
1216	6077	43863
1217	6096	43957
1218	6097	43925
1219	6117	44026
1220	6119	43999
1221	6138	44093
1222	6139	44062
1223	6141	44033
1224	6142	44001
1225	6143	43968
1226	6145	43939
1227	6162	44021
1228	6164	43992
1229	6165	43959
