iter	RMSE
0	0.386780171
1	0.3722695348
2	0.3592410441
3	0.3479306486
4	0.3372454514
5	0.3286784257
6	0.32019946
7	0.312335262
8	0.3054224555
9	0.2990235138
10	0.2934436767
11	0.2885611892
12	0.2847222493
13	0.2803072473
14	0.2765597994
15	0.2730912954
16	0.2699391623
17	0.2668920951
18	0.2641866805
19	0.2615965984
20	0.2589145437
21	0.2560121669
22	0.2541070918
23	0.2518835405
24	0.2502301995
25	0.2485165844
26	0.2466254399
27	0.244803772
28	0.2433067844
29	0.2418829053
30	0.240520363
31	0.2393846033
32	0.2383032838
33	0.2371320037
34	0.2359414338
35	0.2348920017
36	0.233871735
37	0.2329672463
38	0.2317638611
39	0.2306046567
40	0.2295653495
41	0.2285686898
42	0.2278345285
43	0.2270689427
44	0.2257210546
45	0.2246696784
46	0.2237645404
47	0.2229947068
48	0.2223528556
49	0.2216851823
50	0.2209580128
51	0.2196942385
52	0.2190386256
53	0.2183447112
54	0.2175736585
55	0.216848689
56	0.216416748
57	0.2158560113
58	0.2152905888
59	0.2147084055
60	0.2140438627
61	0.2135496501
62	0.2127402649
63	0.2122781459
64	0.2117293395
65	0.2111970493
66	0.2107897753
67	0.2102614957
68	0.2098833066
69	0.209083254
70	0.2085753912
71	0.2080207231
72	0.2075506765
73	0.2068897091
74	0.206178603
75	0.205721913
76	0.2052961571
77	0.2048727555
78	0.2043725666
79	0.2039571323
80	0.2033067431
81	0.2026844316
82	0.2019911858
83	0.2016166784
84	0.201087159
85	0.2007413767
86	0.2002222287
87	0.1997607922
88	0.1993841724
89	0.1989228611
90	0.1986118393
91	0.1980594652
92	0.1973493981
93	0.1968919391
94	0.1965825067
95	0.1962207088
96	0.1957683161
97	0.1951699502
98	0.1948520532
99	0.194388554
100	0.1937983747
101	0.1932532145
102	0.1926914246
103	0.1924046842
104	0.1917870513
105	0.1910787815
106	0.1906142672
107	0.1902508851
108	0.1898521475
109	0.1891273533
110	0.1888979402
111	0.188418836
112	0.1880698594
113	0.1876686221
114	0.1872955731
115	0.1869713931
116	0.1866687313
117	0.1862046502
118	0.1859380682
119	0.18567432
120	0.1853597284
121	0.1850348695
122	0.1846871201
123	0.1842398938
124	0.1838746703
125	0.1835839587
126	0.1833693738
127	0.1830023375
128	0.1825870227
129	0.1820848967
130	0.1817696933
131	0.1814619891
132	0.1811848862
133	0.1808804481
134	0.1805084995
135	0.1801580277
136	0.1798115089
137	0.1793329829
138	0.1788533259
139	0.1785404644
140	0.1781239142
141	0.1777038299
142	0.1775040774
143	0.177200751
144	0.1767762292
145	0.1764029584
146	0.1759907628
147	0.1756262007
148	0.175401624
149	0.1749295364
150	0.1745558377
151	0.1742695017
152	0.1738939925
153	0.1736445908
154	0.1734726283
155	0.1731593248
156	0.1729026026
157	0.172635211
158	0.1722852116
159	0.1719240117
160	0.1716406558
161	0.1711992584
162	0.1708151032
163	0.1706475248
164	0.1704209046
165	0.1700857544
166	0.1696230264
167	0.1694195648
168	0.1691073589
169	0.1688848375
170	0.1685512515
171	0.1682948704
172	0.1679405297
173	0.1677060851
174	0.1674442703
175	0.1671422572
176	0.1668507771
177	0.1665400132
178	0.1662773096
179	0.1659602043
180	0.1656678702
181	0.1653956288
