iter	RMSE
0	16.43151863
1	16.02943848
2	15.70618229
3	15.32915475
4	14.99245004
5	14.63252912
6	14.30586076
7	14.01196311
8	13.70192114
9	13.40945004
10	13.1217704
11	12.84571125
12	12.57456125
13	12.32284719
14	12.06631702
15	11.82650545
16	11.59573951
17	11.36431522
18	11.15872778
19	10.94674542
20	10.73899249
21	10.57415063
22	10.36527347
23	10.19093521
24	10.03515585
25	9.8938697
26	9.725467763
27	9.577236446
28	9.423356305
29	9.270442345
30	9.125342149
31	8.997079921
32	8.86055156
33	8.733347831
34	8.596870006
35	8.467727015
36	8.337705479
37	8.233805869
38	8.115191813
39	8.01512445
40	7.899661905
41	7.805120864
42	7.719461563
43	7.637690085
44	7.559492046
45	7.466320226
46	7.371942841
47	7.288183169
48	7.216537653
49	7.144561914
50	7.072339769
51	6.987451471
52	6.915957977
53	6.84664176
54	6.787005015
55	6.71424683
56	6.65947053
57	6.60463418
58	6.538030254
59	6.484811027
60	6.426111203
61	6.368888422
62	6.314075906
63	6.279216336
64	6.232665919
65	6.177789267
66	6.142951024
67	6.094784881
68	6.050012201
69	6.013206009
70	5.975120642
71	5.934041072
72	5.887658955
73	5.848504394
74	5.811306756
75	5.784376752
76	5.746891996
77	5.713941993
78	5.679512408
79	5.647204943
80	5.613768746
81	5.586079463
82	5.546836817
83	5.517182451
84	5.486262965
85	5.461510739
86	5.438175571
87	5.413826709
88	5.380288715
89	5.352167124
90	5.324007472
91	5.296755846
92	5.266327196
93	5.24278342
94	5.223260501
95	5.198731856
96	5.177462356
97	5.158439519
98	5.138350356
99	5.119175441
100	5.092792386
101	5.077819726
102	5.061238997
103	5.039871967
104	5.019319144
105	5.001249438
106	4.979725362
107	4.960199331
108	4.944738049
109	4.927434475
110	4.91441661
111	4.901012152
112	4.884796436
113	4.86869226
114	4.859026871
115	4.842965957
116	4.833521547
117	4.817953496
118	4.80253083
119	4.784587802
120	4.765965072
121	4.760784227
122	4.74732767
123	4.733497244
124	4.721841351
125	4.70510835
126	4.690345656
127	4.674387243
128	4.655223475
129	4.644856532
130	4.628471236
131	4.617477418
132	4.604773149
133	4.589606974
134	4.577898006
135	4.56569438
136	4.549770656
137	4.534355647
138	4.520859115
139	4.506227071
140	4.49557331
141	4.485644053
142	4.477260889
143	4.469537153
144	4.457650318
145	4.450281984
146	4.438710484
147	4.426544982
148	4.413871237
149	4.403035553
150	4.390468093
151	4.379912747
152	4.371538578
153	4.359614033
154	4.34667403
155	4.334179646
