iter	Passed	Remaining
0	24	48780
1	50	50172
2	75	49824
3	97	48169
4	117	46681
5	136	45065
6	156	44420
7	176	43590
8	188	41529
9	206	40915
10	225	40483
11	242	39947
12	260	39552
13	278	39304
14	296	38974
15	313	38660
16	330	38329
17	347	38015
18	364	37772
19	381	37511
20	391	36650
21	407	36454
22	424	36327
23	441	36153
24	462	36345
25	486	36698
26	505	36727
27	523	36663
28	541	36618
29	560	36607
30	581	36733
31	595	36433
32	614	36415
33	633	36404
34	651	36373
35	669	36318
36	689	36352
37	708	36393
38	728	36410
39	747	36416
40	766	36408
41	776	36007
42	788	35693
43	807	35702
44	825	35653
45	836	35314
46	853	35269
47	865	34988
48	878	34798
49	897	34788
50	915	34782
51	934	34791
52	951	34768
53	964	34548
54	982	34534
55	1001	34569
56	1013	34344
57	1030	34322
58	1047	34251
59	1064	34224
60	1082	34218
61	1100	34206
62	1118	34188
63	1136	34189
64	1150	34054
65	1160	33825
66	1179	33821
67	1196	33791
68	1208	33628
69	1226	33615
70	1237	33438
71	1255	33414
72	1271	33377
73	1288	33342
74	1305	33309
75	1322	33287
76	1335	33157
77	1349	33059
78	1365	33023
79	1381	32968
80	1398	32951
81	1409	32773
82	1425	32743
83	1444	32748
84	1457	32638
85	1477	32693
86	1498	32757
87	1518	32793
88	1537	32831
89	1557	32862
90	1578	32915
91	1591	32813
92	1611	32852
93	1632	32916
94	1653	32972
95	1675	33039
96	1689	32948
97	1709	32978
98	1729	33017
99	1749	33054
100	1761	32937
101	1782	32981
102	1797	32914
103	1809	32795
104	1828	32810
105	1842	32723
106	1860	32731
107	1879	32740
108	1891	32621
109	1911	32649
110	1930	32664
111	1948	32660
112	1968	32679
113	1979	32564
114	1998	32563
115	2017	32571
116	2036	32584
117	2056	32612
118	2078	32655
119	2089	32542
120	2101	32447
121	2112	32332
122	2132	32348
123	2151	32358
124	2171	32382
125	2191	32403
126	2211	32421
127	2230	32434
128	2243	32344
129	2260	32318
130	2278	32315
131	2295	32290
132	2306	32186
133	2323	32165
134	2340	32145
135	2357	32125
136	2375	32107
137	2392	32092
138	2404	31998
139	2422	31997
140	2441	31993
141	2459	31994
142	2477	31977
143	2493	31953
144	2511	31944
145	2521	31833
146	2538	31805
147	2554	31779
148	2571	31749
149	2588	31730
150	2603	31693
151	2622	31693
152	2640	31684
153	2661	31711
154	2682	31739
155	2701	31740
156	2713	31663
157	2732	31668
158	2747	31617
159	2765	31609
160	2778	31544
161	2798	31559
162	2818	31569
163	2837	31573
164	2856	31575
165	2875	31583
166	2896	31598
167	2916	31609
168	2936	31618
169	2955	31626
170	2984	31727
171	3004	31735
172	3026	31766
173	3049	31812
174	3075	31876
175	3096	31901
176	3118	31921
177	3132	31875
178	3152	31881
179	3175	31910
180	3190	31870
181	3208	31853
182	3227	31848
183	3243	31822
184	3260	31793
185	3272	31720
186	3282	31633
187	3294	31563
188	3311	31535
189	3319	31428
190	3335	31397
191	3350	31362
192	3360	31268
193	3375	31235
194	3385	31146
195	3396	31070
196	3412	31044
197	3428	31014
198	3446	31000
199	3463	30981
200	3476	30929
201	3488	30864
202	3507	30858
203	3525	30849
204	3544	30844
205	3564	30851
206	3575	30782
207	3595	30787
208	3615	30791
209	3634	30786
210	3651	30767
211	3663	30708
212	3681	30699
213	3691	30619
214	3710	30619
215	3730	30621
216	3747	30605
