iter	RMSE
0	339987.9894
1	331922.6176
2	317867.2808
3	304465.3732
4	294759.6199
5	286092.166
6	273345.3142
7	273339.1426
8	273334.7288
9	269373.3494
10	261952.1974
11	261717.9823
12	259672.6336
13	258309.2659
14	254280.4745
15	254271.756
16	243745.5963
17	243743.7049
18	243575.3342
19	239111.854
20	239111.8457
21	233607.4497
22	225375.5049
23	220393.3061
24	211082.634
25	205445.7678
26	205437.5708
27	203327.5438
28	197505.7904
29	197418.6561
30	196381.8854
31	194998.9174
32	194992.0994
33	188094.2582
34	187417.7291
35	186489.6311
36	186488.6906
37	182511.6022
38	175027.696
39	174214.8335
40	174214.4448
41	165799.8686
42	165799.5292
43	163027.793
44	160344.3529
45	160339.4432
46	159371.6119
47	152516.1551
48	151029.0327
49	149404.7859
50	146844.0557
51	145853.5615
52	141100.1497
53	135478.8741
54	135476.6559
55	135475.0694
56	135339.3033
57	133845.9876
58	132876.413
59	132870.7052
60	132870.704
61	130421.538
62	128096.6829
63	127839.9888
64	127839.8677
65	124771.4093
66	124771.0317
67	124760.6745
68	124738.0319
69	120471.7016
70	118749.7998
71	118748.9763
72	118748.3873
73	118186.496
74	114434.3035
75	114404.6025
76	110641.3813
77	107567.5165
78	106908.086
79	106723.5546
80	106386.2653
81	106159.5191
82	103785.0365
83	102361.6687
84	101575.2095
85	100112.4114
86	99893.0027
87	99862.41797
88	98784.61917
89	97421.44742
90	97421.03546
91	97420.74083
92	96702.76479
93	96400.53737
94	94354.69033
95	94183.8461
96	91884.11348
97	91800.62213
98	91619.93689
99	90904.61415
100	90466.66595
101	87118.43546
102	87101.61606
103	86950.24007
104	86947.14736
105	86266.77153
106	85644.92241
107	84676.65698
108	84676.64028
109	84411.02591
110	82085.33156
111	81742.26675
112	81649.73604
113	79504.11111
114	79470.4812
115	79420.80225
116	79420.7972
117	78481.99653
118	78452.99179
119	77583.00202
120	77582.95214
121	76061.91073
122	76061.86295
123	75791.35564
124	74696.55344
125	74695.98207
126	74695.57345
127	74695.28121
128	74638.92687
129	73759.09318
130	73751.14439
131	73090.26978
132	73090.26969
133	73090.26963
134	73090.26958
135	73090.26955
136	73090.26953
137	71961.24958
138	71937.31348
139	70771.63106
140	69513.85936
141	68879.95028
142	68879.315
143	66814.3736
144	66507.39673
145	66313.65388
146	66312.88758
147	66247.70169
148	66247.42113
149	66247.22047
150	65581.28824
151	65576.56763
152	64376.07979
153	64375.48647
154	64375.06215
155	64363.51643
156	64358.16239
157	63097.80843
158	63014.20497
159	60964.18031
160	60964.10032
161	60284.18741
162	59707.88278
163	59547.31787
164	59449.53386
165	59185.26292
166	58398.81471
167	58375.39118
168	58022.5594
169	57683.40713
170	57468.27607
171	57465.82337
172	55688.2922
173	55688.12277
174	54975.69642
175	54960.01694
176	54957.05048
177	54957.0392
178	54957.03114
179	54657.14658
180	54344.21284
181	54250.00043
182	54052.09278
183	54052.02005
184	54010.85272
185	53827.05056
186	52686.76427
187	52042.23361
188	52042.21474
189	52041.58212
190	52040.40676
191	52037.44951
192	50646.25132
193	50646.16129
194	50646.0969
195	50643.13073
196	50085.61978
197	49902.50555
198	49899.42133
199	49564.95392
200	49544.18579
201	49501.82466
202	49493.58652
203	49493.55116
204	49493.52587
205	47590.1623
206	47303.76733
207	47303.76647
208	47283.31796
209	45929.9042
210	45929.68789
211	45202.17702
212	45109.23849
213	45099.62414
214	45099.05405
215	44588.75151
216	44296.33892
217	44016.92388
218	43517.36341
219	43367.2746
220	43365.99239
221	43356.64688
222	43338.80155
223	43338.62939
224	43065.02546
225	42960.11811
226	42390.69884
227	42390.30916
228	42217.84549
229	42215.10486
230	42207.73519
231	42207.62641
232	41078.10297
233	40726.7326
234	40726.70119
235	40661.52234
236	40652.78513
237	40539.61401
238	40523.16291
239	40338.67197
240	40328.5563
241	40241.52649
242	40241.47825
243	40158.54733
244	40158.51067
245	40128.58674
246	39965.93057
247	39965.76013
248	39895.985
249	39895.96656
250	39895.28781
251	39817.86799
252	39817.06653
253	39725.24518
254	39616.91785
255	39608.24909
256	38928.79867
257	38928.79001
258	38928.54076
259	38457.95315
260	38457.58247
261	38443.58427
262	38393.56169
263	38391.1596
264	38381.79133
265	38381.62586
266	38333.33809
267	37973.38751
268	37973.01031
269	37972.95892
270	37574.49545
271	37559.04778
272	37559.04776
273	37557.01521
274	37518.07057
275	37268.08088
276	36908.72902
277	36875.74016
278	36875.7371
279	36367.27847
280	36106.56029
281	36106.53037
282	36071.70665
283	36068.29481
284	35744.58744
285	35726.73087
286	35664.39084
287	35662.78058
288	35629.99356
289	35477.98719
290	35233.29631
291	35228.75996
292	33720.51278
293	33534.9016
294	33467.78522
295	33359.88846
296	33359.82135
297	33359.77336
298	33180.7195
299	33175.47818
300	33175.4465
301	33175.42384
302	33170.84423
303	32309.62874
304	31876.57293
305	31766.68988
306	31766.56948
307	31766.48338
308	31714.93981
309	31714.89583
310	30993.07909
311	30834.34889
312	30830.91248
313	30622.41347
314	30458.25379
315	30426.98638
316	29901.23333
317	29845.44436
318	29676.65474
319	29634.65943
320	29538.76949
321	29510.13765
322	29510.13574
323	29504.79844
324	29496.74168
325	29486.35512
326	29478.47364
327	28852.24221
328	28852.13819
329	28851.54133
330	28779.1439
331	28779.08136
332	28779.03663
333	28579.33355
334	28501.58582
335	27929.7225
336	27833.04285
337	27820.51738
338	27603.77486
339	27563.11739
340	27560.62785
341	27357.50776
342	26321.07932
343	26317.60926
344	26293.9099
345	26271.08644
346	26267.26779
347	26257.45313
348	26257.3209
349	26236.18143
350	26235.80378
351	26232.37446
352	26100.12386
353	26054.65173
354	26054.24475
355	26053.81621
356	26049.66724
357	25655.60428
358	25655.53849
359	25612.23562
360	25595.50037
361	25567.15416
362	25566.84119
363	25564.67025
364	25364.79594
365	25353.19134
366	25312.30106
367	25311.89024
368	24968.61789
369	24963.00852
370	24903.35825
371	24893.86022
372	24893.85527
373	24321.0818
374	24144.80622
375	23850.34795
376	23849.80652
377	23288.24864
378	23127.69102
379	23126.96928
380	23123.7735
381	23111.10589
382	23110.90923
383	23068.27925
384	23062.35951
385	23049.6661
386	23049.58125
387	23049.14406
388	23044.93322
389	23044.89472
390	22595.43733
391	22418.54709
392	22418.53895
393	22355.04245
394	22185.98294
395	22185.93114
396	22185.89408
397	22181.81734
398	22181.79552
399	22181.63188
400	22156.35849
401	21987.99928
402	21937.79555
