iter	Passed	Remaining
0	1	1315
1	2	1022
2	2	888
3	3	922
4	4	866
5	5	877
6	6	944
7	7	876
8	7	820
9	8	866
10	9	879
11	10	840
12	10	814
13	11	788
14	11	778
15	12	752
16	13	766
17	13	743
18	14	730
19	14	720
20	15	705
21	15	696
22	17	723
23	17	730
24	18	726
25	19	723
26	19	711
27	20	708
28	20	700
29	21	693
30	21	685
31	22	683
32	22	672
33	24	698
34	24	688
35	25	682
36	25	672
37	26	668
38	36	910
39	37	904
40	38	892
41	61	1406
42	62	1387
43	63	1375
44	64	1371
45	65	1349
46	65	1333
47	71	1421
48	72	1408
49	74	1414
50	75	1411
51	76	1401
52	78	1395
53	135	2376
54	136	2346
55	137	2315
56	138	2287
57	139	2261
58	142	2269
59	142	2235
60	143	2201
61	146	2211
62	147	2188
63	147	2158
64	147	2128
65	153	2170
66	153	2140
67	154	2113
68	154	2085
69	157	2094
70	158	2071
71	158	2045
72	159	2019
73	159	1996
74	176	2172
75	176	2148
76	182	2186
77	202	2394
78	203	2375
79	204	2353
80	205	2327
81	205	2304
82	206	2281
83	224	2451
84	225	2430
85	229	2436
86	229	2413
87	230	2389
88	231	2366
89	232	2348
90	232	2323
91	233	2299
92	233	2281
93	235	2272
94	238	2272
95	239	2256
96	240	2243
97	241	2223
98	242	2207
99	243	2195
100	245	2180
101	247	2177
102	248	2160
103	248	2145
104	249	2127
105	251	2121
106	273	2282
107	279	2311
108	280	2291
109	282	2284
110	342	2739
111	345	2735
112	345	2713
113	346	2694
114	347	2670
115	347	2647
116	347	2624
117	348	2604
118	349	2583
119	349	2565
120	350	2544
121	376	2707
122	376	2687
123	377	2669
124	380	2661
125	380	2639
126	380	2618
127	381	2597
128	382	2580
129	419	2810
130	420	2788
131	420	2768
132	421	2746
133	421	2726
134	422	2705
135	422	2684
136	422	2664
137	423	2646
138	424	2627
139	424	2610
140	439	2675
141	442	2676
142	443	2657
143	529	3150
144	530	3130
145	532	3117
146	533	3094
147	534	3076
148	534	3054
149	535	3032
150	539	3035
151	540	3015
152	551	3055
153	552	3033
154	552	3012
155	553	2992
156	553	2972
157	559	2980
158	560	2962
159	561	2947
160	561	2928
161	564	2921
162	565	2905
163	566	2887
164	567	2871
165	568	2854
166	569	2841
167	569	2822
168	571	2810
169	572	2794
170	582	2822
171	582	2804
172	591	2826
173	591	2808
174	593	2798
175	594	2783
176	594	2766
177	595	2749
178	595	2732
179	596	2716
180	598	2707
181	599	2692
182	620	2771
183	621	2755
184	622	2740
185	622	2725
186	624	2713
187	629	2719
188	630	2704
189	630	2689
190	631	2674
191	631	2659
192	632	2646
193	633	2630
194	633	2615
195	633	2600
196	644	2627
197	645	2614
198	646	2600
199	646	2586
200	647	2573
201	648	2560
202	648	2545
203	648	2531
204	649	2517
205	655	2525
206	655	2511
207	656	2498
208	656	2484
209	742	2791
210	743	2778
211	748	2783
212	749	2770
213	750	2755
214	750	2741
215	751	2728
216	760	2744
217	764	2743
218	767	2738
219	770	2731
220	770	2717
221	771	2703
222	772	2690
223	772	2676
224	773	2662
225	773	2649
226	777	2648
227	778	2634
228	778	2622
229	779	2609
230	780	2598
231	780	2584
232	789	2597
233	799	2618
234	800	2605
235	800	2592
236	801	2579
237	802	2569
238	802	2556
239	803	2543
240	803	2531
241	804	2520
242	804	2507
243	805	2497
244	806	2484
245	806	2472
246	807	2462
247	808	2450
248	809	2440
249	809	2428
250	810	2417
251	812	2412
252	813	2401
253	813	2390
254	816	2384
255	816	2374
256	818	2366
257	818	2355
258	819	2344
259	823	2344
260	824	2333
261	824	2323
262	825	2312
263	825	2302
264	826	2293
265	827	2283
266	828	2273
267	833	2276
268	834	2266
269	834	2256
270	839	2257
271	839	2247
272	840	2237
273	840	2227
274	842	2220
275	844	2216
276	846	2209
277	847	2201
278	848	2192
279	864	2222
280	865	2214
281	865	2204
282	867	2197
283	867	2187
284	870	2184
285	871	2175
286	871	2165
287	872	2156
288	872	2147
289	873	2138
290	874	2130
291	874	2121
292	893	2156
293	898	2157
294	900	2150
295	900	2142
296	901	2133
297	901	2123
298	903	2117
299	903	2109
300	904	2100
301	904	2091
302	905	2082
303	917	2100
304	932	2124
305	934	2118
306	934	2109
307	934	2100
308	936	2093
309	936	2084
310	967	2142
311	967	2134
312	968	2125
313	969	2118
314	973	2117
315	974	2108
316	1001	2158
317	1002	2151
318	1003	2142
319	1004	2134
320	1005	2126
321	1005	2117
322	1006	2108
323	1006	2100
324	1007	2091
325	1007	2083
326	1008	2076
327	1053	2158
328	1054	2149
329	1054	2141
330	1055	2133
331	1055	2124
332	1056	2115
333	1058	2111
334	1060	2105
335	1073	2121
336	1074	2114
337	1075	2106
338	1078	2103
339	1079	2096
340	1080	2087
341	1097	2112
342	1101	2110
343	1102	2102
344	1103	2095
345	1104	2087
346	1104	2079
347	1105	2071
348	1106	2063
349	1106	2055
350	1107	2047
351	1107	2039
352	1109	2033
353	1110	2025
354	1110	2017
355	1110	2009
356	1111	2001
357	1114	1999
358	1115	1990
359	1115	1983
360	1116	1975
361	1117	1969
362	1118	1961
363	1118	1954
364	1119	1947
365	1119	1940
366	1120	1932
367	1121	1925
368	1128	1930
369	1129	1922
370	1129	1915
371	1130	1907
372	1130	1900
373	1206	2019
374	1208	2013
375	1208	2006
376	1209	1998
377	1212	1995
378	1213	1988
379	1213	1980
380	1214	1972
381	1215	1966
382	1215	1958
383	1216	1951
384	1219	1947
385	1219	1939
386	1219	1932
387	1220	1924
388	1220	1917
389	1221	1910
390	1291	2012
391	1300	2017
392	1300	2009
393	1301	2001
