iter	MAE
0	828.1118795
1	728.6650787
2	703.8646774
3	585.5431713
4	575.7563402
5	575.7337316
6	527.6352893
7	498.8782073
8	494.8584992
9	475.2869421
10	460.618881
11	460.6136773
12	456.9036756
13	456.7796974
14	455.447333
15	434.8972712
16	422.4363148
17	422.435045
18	412.0098429
19	409.4187349
20	404.1937498
21	397.5937642
22	392.8890805
23	392.8889707
24	392.7289431
25	391.0894971
26	386.8463942
27	386.5127257
28	384.3622519
29	382.2512311
30	380.7081306
31	379.4841362
32	379.4836492
33	379.3004828
34	379.117631
35	378.9977274
36	378.796308
37	378.7616921
38	378.7616075
39	378.7180855
40	378.7180786
41	378.7180742
42	378.7180715
43	376.5838899
44	376.5836765
45	375.9972017
46	375.9971987
47	375.9971969
48	375.9971957
49	375.997195
50	374.0506215
51	374.0502777
52	373.5671329
53	373.5669421
54	373.3865303
55	373.3609408
56	373.2060428
57	373.1934561
58	372.9080181
59	372.9078119
60	372.6524741
61	372.3948484
62	372.3676953
63	372.36746
64	372.1621496
65	372.1620822
66	372.1620527
67	372.1620412
68	372.0192354
69	371.7855632
70	371.7046923
71	371.7046921
72	371.7046919
73	371.7046918
74	371.2414144
75	371.236566
76	370.8374644
77	370.8178163
78	368.8142407
79	368.6969412
80	367.5592246
81	367.559217
82	367.5592124
83	366.0441751
84	365.1696116
85	365.169592
86	365.1695807
87	365.169579
88	365.169578
89	364.8444527
90	364.8365405
91	364.7240225
92	363.6441202
93	363.6441193
94	363.2514215
95	363.2340213
96	363.2338983
97	363.2338562
98	361.5821432
99	361.5821181
100	361.3557342
101	361.3556342
102	361.3555897
103	361.2689675
104	361.2689328
105	361.0780984
106	361.0012829
107	360.9526361
108	360.9525913
109	360.9525635
110	360.8598258
111	360.8598108
112	360.859803
113	360.7828719
114	360.7787416
115	358.4086381
116	358.384436
117	358.2451175
118	358.2451157
119	358.2272963
120	357.9663955
121	357.9263406
122	357.9262312
123	357.926189
124	357.8397439
125	357.8361976
126	355.4625913
127	355.4376486
128	354.560054
129	353.6463038
130	353.6322175
131	353.1115352
132	352.8644882
133	352.7750715
134	352.7750484
135	352.7722856
136	352.7722844
137	352.7619182
138	352.761918
139	352.7619179
140	352.7537291
141	352.7537274
142	352.7496959
143	352.7496945
144	352.7041606
145	352.7039555
146	352.703871
147	352.7038226
148	352.703799
149	352.7005574
150	352.7005511
151	352.7005496
152	352.6728053
153	352.6630398
154	352.1408599
155	352.1387136
156	352.1385198
157	352.1210399
158	352.1209741
159	351.6683179
160	351.6682892
161	351.668272
162	351.5965342
163	351.5723581
164	351.5722456
165	351.5721944
166	351.5721687
167	351.5721606
168	351.5346079
169	351.5346051
170	351.5318199
171	351.5318185
172	351.5318178
173	349.9604337
174	349.9184791
175	349.9182824
176	349.9182191
177	349.653769
178	349.6537678
179	349.6264566
180	349.6264551
181	349.6264541
182	349.5928642
183	349.5549671
184	349.4933847
185	349.4933681
186	349.4933586
187	349.4933526
188	349.4933488
189	349.4933471
190	349.4933466
191	348.9469721
192	348.9401332
193	348.9401318
194	348.8832273
195	348.8828683
196	348.8827384
197	348.6737573
198	348.0681014
199	348.0680963
200	347.8468605
201	347.7978754
202	347.7974312
203	347.7972659
204	347.7563986
205	347.7562714
206	347.7562354
207	347.756224
208	347.7562168
209	347.7562122
210	347.7537421
211	347.7537407
212	347.7537403
213	347.7537401
214	347.7529943
215	347.7119826
216	347.7119796
217	347.6996537
218	347.6990356
219	347.6990317
220	347.699025
221	347.6990235
222	347.6990225
223	347.6990219
224	347.6990215
225	347.6990213
226	347.6990211
227	347.697813
228	347.6816971
229	347.6816917
230	347.5494181
231	347.5270733
232	347.4999784
233	347.0018512
234	346.9938088
235	346.9930646
236	346.9930578
237	346.9930535
238	346.9915698
239	346.9792659
240	346.9581593
241	346.9299833
242	346.9249552
243	346.9119963
244	346.9119689
245	346.6883255
246	346.4975877
247	346.4901862
248	346.4412693
249	346.4407104
250	346.4404101
251	345.5540343
252	345.4107037
253	345.4106257
254	345.4099413
255	345.4099402
256	345.4083049
257	345.4083039
258	345.4083032
259	345.4083028
260	345.3778002
261	345.3404505
262	345.242639
263	345.2425719
264	345.2425296
265	344.2628262
266	344.2625898
267	344.2238513
268	344.1905658
269	344.190552
270	344.1255709
271	343.4631317
272	343.4629264
273	343.4628362
274	343.4423078
275	343.4421723
276	343.2111886
277	343.2085361
278	343.2083632
279	343.2082671
280	343.2082228
281	343.1496253
282	343.1496247
283	343.1494809
284	343.1479899
285	343.0039754
286	342.9849382
287	342.9830022
288	342.9271435
289	342.9271239
290	342.9271172
291	342.9264306
292	342.9007704
293	342.9006992
294	342.899412
295	342.8994108
296	342.8994101
297	342.8990877
298	342.8128947
299	342.8128437
300	342.8128144
301	342.8126663
302	342.8126559
303	342.7423348
304	342.7423346
305	342.7423345
306	342.7423344
307	342.7423344
308	342.4562816
309	342.4562797
310	342.4562786
311	342.1573045
312	342.0190701
313	342.0190696
314	342.0181251
315	342.0181249
316	342.0100082
317	342.0091882
318	342.0085751
319	342.0082793
320	341.992797
321	341.8073743
322	341.786972
323	341.7247937
324	341.7247648
325	341.7169891
326	341.7156372
327	341.7015663
328	341.6277519
329	341.6276963
330	341.4355361
331	341.4355198
332	341.4227444
333	341.4092379
334	341.4092375
335	341.4092373
336	341.4083384
337	341.3902283
338	341.3901557
339	341.3868766
340	341.3846645
341	341.3735065
342	341.3254532
343	341.3254476
344	341.3254458
345	341.0408848
346	341.0408848
347	340.9786852
348	340.9786535
349	340.8679275
350	340.8679209
351	340.8679198
352	340.8271933
353	340.8269917
354	340.8248606
