iter	RMSE
0	1.648236761
1	1.613999522
2	1.581311173
3	1.551974823
4	1.524394007
5	1.500199205
6	1.478973837
7	1.460263837
8	1.441800062
9	1.424562965
10	1.410462056
11	1.397373691
12	1.384754761
13	1.373586091
14	1.363788065
15	1.354517884
16	1.345793071
17	1.338398834
18	1.33211482
19	1.325476819
20	1.319312802
21	1.313513156
22	1.308104126
23	1.302550558
24	1.297508124
25	1.293303563
26	1.288481317
27	1.284878255
28	1.281934359
29	1.278089339
30	1.275478407
31	1.271630306
32	1.267831477
33	1.264218135
34	1.261563624
35	1.258911298
36	1.25684042
37	1.255182467
38	1.252776809
39	1.251143488
40	1.248912686
41	1.246582536
42	1.245004547
43	1.243566339
44	1.241542516
45	1.240561231
46	1.239049523
47	1.23773978
48	1.236248775
49	1.235306538
50	1.23431949
51	1.232300104
52	1.231311255
53	1.229668009
54	1.227647552
55	1.226318474
56	1.224430261
57	1.223296421
58	1.221539116
59	1.219794924
60	1.21868213
61	1.217660883
62	1.216883304
63	1.215547303
64	1.214423948
65	1.213915293
66	1.213310311
67	1.212460484
68	1.211480465
69	1.210271082
70	1.208671697
71	1.207714698
72	1.206526275
73	1.206071771
74	1.205151519
75	1.204237678
76	1.202549175
77	1.201499451
78	1.200692836
79	1.19960768
80	1.198820543
81	1.197917295
82	1.196685263
83	1.196069864
84	1.19532161
85	1.193933342
86	1.192769919
87	1.191930633
88	1.191079408
89	1.189965613
90	1.189527969
91	1.188457699
92	1.187375737
93	1.186510074
94	1.185848345
95	1.185279955
96	1.184387157
97	1.183549353
98	1.182417614
99	1.181796248
100	1.180490292
101	1.179574554
102	1.17908357
103	1.178451531
104	1.177698704
105	1.176987671
106	1.176204953
107	1.175438983
108	1.175040592
109	1.174541431
110	1.173999245
111	1.173400996
112	1.17258326
113	1.171741164
114	1.171109918
115	1.169992565
116	1.169286408
117	1.168565461
118	1.16783159
119	1.167392603
120	1.166543024
121	1.165742869
122	1.165229863
123	1.164847972
124	1.164162685
125	1.163474159
126	1.162787331
127	1.16240607
128	1.161632065
129	1.160946173
130	1.159943245
131	1.159357473
132	1.158762495
133	1.158105749
134	1.157553569
135	1.157021481
136	1.156291114
137	1.155495583
138	1.15474652
139	1.153959601
140	1.153380974
141	1.152774089
142	1.152029132
143	1.151029792
144	1.150212781
145	1.149720092
146	1.149037814
147	1.148403942
148	1.147800187
149	1.147191289
150	1.146495036
151	1.145759
152	1.144958739
153	1.144119387
154	1.143607273
155	1.142688497
156	1.142216709
157	1.141628728
158	1.140828362
159	1.140005365
160	1.139304941
161	1.138469587
162	1.137793217
163	1.137060346
164	1.136459962
165	1.135746464
166	1.135202814
167	1.134511649
168	1.133907657
169	1.13316397
170	1.132410786
171	1.131675506
172	1.130938098
173	1.130482549
174	1.129791443
175	1.129151504
176	1.128651038
177	1.128177407
178	1.127750804
179	1.126587003
180	1.126177172
181	1.125363662
182	1.124642457
183	1.123992774
184	1.123459602
185	1.122863487
186	1.122129119
187	1.121560222
188	1.120937105
189	1.120178462
190	1.119508452
191	1.118937029
192	1.118182354
193	1.117652258
194	1.116930155
195	1.116209229
196	1.115493082
197	1.114606048
198	1.114038249
199	1.113427041
200	1.112376941
201	1.111723464
202	1.11143681
203	1.110662614
204	1.110023889
205	1.109660937
206	1.108955632
207	1.10849972
208	1.108195581
209	1.107303363
210	1.10668205
211	1.10607576
212	1.105519285
213	1.104942202
214	1.10445137
215	1.103842054
216	1.103594915
217	1.103205125
218	1.102732657
219	1.102545029
220	1.101969935
221	1.101647464
222	1.100970501
223	1.100570411
224	1.099844352
225	1.099184468
226	1.098269972
227	1.097872922
228	1.097492944
229	1.09700499
230	1.096553602
231	1.096196472
232	1.09576993
233	1.095113048
234	1.09446861
235	1.093893582
236	1.093434291
237	1.092949414
238	1.092251083
239	1.091652445
240	1.090923134
241	1.090221728
242	1.08983296
243	1.089430839
244	1.088881742
245	1.088114806
246	1.087578394
247	1.087025252
248	1.086313531
249	1.085570301
250	1.085155559
251	1.08451946
252	1.084192453
253	1.083473431
254	1.083027575
255	1.082675876
256	1.081959662
257	1.081243255
258	1.080534034
259	1.079970423
260	1.07945895
261	1.078815553
262	1.078491843
263	1.078033464
264	1.077415052
265	1.076856951
266	1.076505669
267	1.075787445
268	1.075276634
269	1.074555087
270	1.074079112
271	1.073667143
272	1.073021792
273	1.072358941
274	1.07194246
275	1.071463325
276	1.070674125
277	1.069958207
278	1.069143046
279	1.068553519
280	1.06837799
281	1.067804963
282	1.067320493
283	1.067139751
284	1.066743523
285	1.066060746
286	1.065546904
287	1.065113076
288	1.064780352
289	1.064455555
290	1.064154901
291	1.063603947
292	1.062964093
293	1.062463687
294	1.061873283
295	1.061184654
296	1.060816347
297	1.060306473
298	1.059699302
299	1.059122727
300	1.058610608
301	1.058224702
302	1.057634457
303	1.056859944
304	1.056403358
305	1.056115178
306	1.055561449
307	1.054911566
308	1.054308183
309	1.054008029
310	1.053589808
311	1.053214476
312	1.05274719
313	1.052474657
314	1.052250983
315	1.051751168
316	1.051450476
317	1.050958811
318	1.050435745
319	1.049974697
320	1.049834324
321	1.049180679
322	1.048582259
323	1.048373991
324	1.048011995
325	1.047775142
326	1.047222813
327	1.046737359
328	1.046562966
329	1.045895999
330	1.045505498
331	1.045008536
332	1.044401964
333	1.04414341
334	1.043568949
335	1.043074922
336	1.042722048
337	1.041871404
338	1.041500974
339	1.040898999
340	1.040517785
341	1.040317833
342	1.040046443
343	1.039191963
344	1.038726124
345	1.038371426
346	1.037999421
347	1.037381221
348	1.036921537
349	1.036622672
350	1.036064266
351	1.035683829
352	1.035274321
353	1.034757351
354	1.034284355
355	1.034027315
356	1.033472864
357	1.033061155
358	1.032401428
359	1.032042705
360	1.031707694
361	1.031503816
362	1.030966384
363	1.030310371
364	1.03014298
365	1.029691832
366	1.029346687
367	1.028943616
368	1.028603792
369	1.028292919
370	1.02791385
371	1.027402296
372	1.026991883
373	1.026669281
374	1.026378082
375	1.026005236
376	1.025636098
377	1.025100868
378	1.024673062
379	1.024041314
380	1.023715427
381	1.023500839
382	1.023030028
383	1.022527448
384	1.022094227
385	1.021639516
386	1.02119374
387	1.020884267
388	1.020632452
389	1.0201301
390	1.019499278
