iter	Passed	Remaining
0	154	154426
1	156	78065
2	158	52692
3	160	39891
4	161	32200
5	163	27118
6	165	23447
7	166	20691
8	168	18557
9	169	16828
10	171	15414
11	172	14237
12	174	13250
13	176	12417
14	177	11687
15	179	11051
16	181	10490
17	183	10007
18	185	9555
19	187	9171
20	188	8807
21	190	8462
22	192	8156
23	193	7869
24	194	7603
25	196	7357
26	197	7134
27	199	6927
28	201	6741
29	203	6568
30	204	6401
31	206	6243
32	208	6096
33	209	5956
34	211	5824
35	212	5698
36	214	5579
37	215	5466
38	217	5363
39	219	5263
40	221	5169
41	222	5076
42	223	4985
43	225	4899
44	227	4821
45	228	4745
46	230	4670
47	232	4603
48	233	4537
49	235	4470
50	236	4408
51	238	4346
52	239	4285
53	241	4227
54	242	4173
55	244	4120
56	245	4067
57	247	4021
58	249	3972
59	250	3925
60	252	3879
61	253	3834
62	254	3792
63	256	3752
64	258	3712
65	259	3673
66	261	3635
67	262	3599
68	264	3568
69	266	3535
70	267	3504
71	269	3473
72	270	3440
73	272	3409
74	274	3379
75	275	3350
76	277	3322
77	278	3297
78	280	3270
79	282	3243
80	283	3218
81	285	3195
82	287	3171
83	288	3151
84	290	3129
85	292	3107
86	293	3084
87	295	3061
88	297	3040
89	298	3022
90	300	3001
91	301	2980
92	303	2959
93	304	2939
94	306	2920
95	308	2900
96	309	2881
97	311	2864
98	312	2846
99	314	2828
100	316	2812
101	317	2797
102	319	2781
103	320	2765
104	322	2749
105	324	2735
106	326	2722
107	327	2707
108	329	2691
109	331	2678
110	332	2666
111	334	2650
112	335	2636
113	337	2621
114	338	2606
115	340	2592
116	341	2579
117	343	2566
118	344	2552
119	346	2539
120	347	2526
121	349	2512
122	350	2501
123	352	2489
124	354	2478
125	355	2466
126	357	2454
127	358	2442
128	360	2431
129	361	2420
130	363	2409
131	364	2398
132	366	2388
133	367	2377
134	369	2367
135	371	2359
136	373	2350
137	374	2340
138	376	2329
139	377	2321
140	379	2313
141	381	2302
142	382	2294
143	384	2285
144	386	2276
145	387	2268
146	389	2259
147	391	2252
148	392	2243
149	394	2235
150	396	2227
151	397	2220
152	399	2212
153	401	2205
154	403	2197
155	404	2189
156	406	2183
157	408	2176
158	410	2169
159	411	2162
160	413	2153
