iter	Passed	Remaining
0	7	10015
1	15	9917
2	21	9504
3	28	9243
4	35	9318
5	43	9283
6	49	9170
7	56	9077
8	62	9027
9	70	9138
10	77	9095
11	84	9114
12	91	9062
13	97	8993
14	104	8967
15	111	8939
16	118	8927
17	124	8892
18	132	8916
19	139	8903
20	146	8902
21	152	8886
22	159	8881
23	163	8666
24	170	8677
25	176	8656
26	183	8673
27	191	8715
28	198	8698
29	200	8494
30	207	8478
31	212	8432
32	219	8445
33	226	8436
34	233	8433
35	240	8440
36	247	8438
37	253	8421
38	260	8427
39	269	8495
40	279	8592
41	288	8655
42	301	8814
43	312	8919
44	317	8860
45	328	8951
46	334	8914
47	341	8913
48	349	8931
49	358	8973
50	365	8962
51	374	8978
52	381	8967
53	388	8963
54	395	8949
55	402	8948
56	410	8953
57	427	9146
58	432	9100
59	443	9175
60	456	9279
61	464	9266
62	473	9293
63	484	9358
64	494	9400
65	497	9302
66	506	9312
67	513	9301
68	516	9221
69	525	9233
70	533	9235
71	541	9239
72	548	9227
73	555	9206
74	562	9190
75	570	9182
76	577	9168
77	584	9152
78	590	9129
79	597	9107
80	599	9025
81	606	9005
82	612	8987
83	619	8964
84	625	8945
85	632	8932
86	639	8922
87	646	8909
88	651	8864
89	658	8859
90	666	8857
91	674	8851
92	680	8837
93	688	8831
94	695	8819
95	697	8753
96	704	8739
97	712	8733
98	718	8720
99	725	8705
100	732	8691
101	734	8628
102	741	8615
103	743	8551
104	750	8538
105	757	8532
106	764	8524
107	771	8514
108	778	8503
109	785	8492
110	791	8481
111	798	8471
112	807	8480
113	814	8474
114	821	8461
115	827	8449
116	835	8446
117	842	8438
118	849	8433
119	856	8426
120	864	8419
121	871	8417
122	874	8364
123	881	8356
124	888	8351
125	896	8349
126	903	8342
127	910	8333
128	914	8305
129	922	8303
130	929	8296
131	936	8289
132	943	8277
133	950	8266
134	956	8253
135	963	8248
136	981	8330
137	988	8321
138	995	8311
139	1002	8309
140	1009	8298
141	1016	8289
142	1023	8278
143	1029	8266
144	1037	8263
145	1044	8252
146	1051	8245
147	1058	8239
148	1066	8240
149	1074	8236
150	1081	8227
151	1089	8226
152	1096	8220
153	1103	8213
154	1110	8205
155	1117	8195
156	1120	8158
157	1127	8149
158	1134	8140
159	1141	8131
160	1148	8123
161	1155	8114
162	1162	8108
163	1169	8098
164	1175	8088
165	1182	8079
166	1189	8068
167	1196	8061
168	1203	8056
169	1210	8047
170	1217	8040
171	1224	8031
172	1232	8028
173	1239	8018
174	1245	8005
175	1251	7993
176	1258	7985
177	1265	7976
178	1272	7969
179	1280	7969
180	1288	7967
181	1295	7957
182	1302	7948
183	1309	7941
184	1311	7904
185	1318	7895
186	1325	7887
187	1332	7883
188	1339	7875
189	1346	7864
190	1352	7854
191	1359	7843
192	1366	7835
193	1373	7828
194	1380	7822
195	1387	7813
196	1394	7806
197	1401	7798
198	1409	7795
199	1415	7787
200	1423	7782
201	1430	7776
202	1437	7768
203	1444	7759
204	1451	7754
205	1458	7746
206	1466	7742
207	1473	7737
208	1481	7730
209	1488	7724
210	1495	7718
211	1502	7711
212	1509	7703
213	1516	7693
214	1523	7688
215	1530	7680
216	1537	7672
217	1544	7663
218	1551	7656
219	1557	7648
220	1565	7641
221	1571	7631
222	1578	7623
223	1585	7613
224	1591	7604
225	1598	7597
226	1606	7592
227	1612	7583
228	1619	7575
229	1626	7565
230	1633	7559
231	1641	7554
232	1647	7545
233	1654	7538
234	1662	7534
235	1669	7527
236	1677	7521
237	1684	7515
238	1691	7508
239	1698	7501
240	1705	7496
241	1713	7491
242	1721	7486
243	1727	7478
244	1735	7471
245	1742	7465
246	1749	7457
247	1756	7449
248	1763	7441
249	1770	7435
250	1777	7426
251	1783	7417
252	1790	7409
253	1797	7403
254	1804	7395
255	1811	7386
256	1817	7377
257	1824	7368
258	1830	7358
259	1837	7350
260	1844	7342
261	1851	7335
262	1858	7329
263	1865	7321
264	1873	7315
265	1879	7306
266	1886	7300
267	1894	7295
268	1901	7287
269	1908	7279
270	1914	7270
271	1922	7265
272	1929	7257
273	1936	7251
274	1943	7244
275	1950	7237
276	1957	7229
277	1964	7223
278	1972	7218
279	1979	7211
280	1986	7202
281	1993	7196
282	2000	7189
283	2008	7183
284	2014	7175
285	2021	7166
286	2028	7158
287	2034	7149
288	2041	7141
289	2048	7134
290	2055	7127
291	2062	7120
292	2069	7111
293	2076	7104
294	2082	7095
295	2090	7089
296	2097	7082
297	2103	7074
298	2110	7066
299	2117	7058
300	2123	7049
301	2130	7041
302	2137	7034
303	2144	7026
304	2151	7017
305	2158	7010
306	2165	7003
307	2172	6996
308	2179	6990
309	2186	6982
310	2193	6974
311	2199	6965
312	2206	6956
313	2212	6947
314	2218	6938
315	2225	6931
316	2232	6924
317	2239	6915
318	2246	6907
319	2253	6900
320	2259	6892
321	2266	6884
322	2273	6878
323	2280	6870
324	2288	6865
325	2295	6859
326	2302	6850
327	2308	6841
328	2315	6834
329	2322	6827
330	2329	6819
331	2336	6812
332	2343	6805
333	2350	6797
334	2357	6791
335	2364	6783
336	2370	6775
337	2377	6767
338	2384	6760
339	2391	6751
340	2397	6742
341	2403	6732
342	2410	6725
343	2416	6715
344	2422	6706
345	2429	6697
346	2435	6689
347	2441	6679
348	2447	6670
349	2454	6663
350	2461	6654
351	2467	6645
352	2474	6638
353	2481	6630
354	2488	6623
355	2494	6614
356	2500	6606
357	2507	6597
358	2514	6589
359	2520	6582
360	2527	6575
361	2534	6568
362	2541	6559
363	2547	6550
364	2553	6542
365	2560	6533
366	2566	6525
367	2573	6517
368	2579	6509
369	2586	6501
370	2593	6493
371	2599	6485
372	2606	6477
373	2612	6468
374	2619	6461
375	2626	6454
376	2633	6446
377	2639	6438
378	2646	6430
379	2652	6422
380	2659	6415
381	2666	6407
382	2672	6399
383	2679	6391
384	2686	6384
385	2693	6378
386	2700	6370
387	2707	6363
388	2714	6356
389	2720	6348
390	2727	6341
391	2734	6332
392	2740	6324
393	2746	6316
394	2753	6308
395	2760	6301
396	2766	6293
397	2773	6285
398	2780	6277
399	2786	6270
400	2792	6261
401	2799	6253
402	2806	6245
403	2812	6237
404	2820	6232
405	2827	6225
406	2833	6217
407	2839	6208
408	2846	6201
409	2853	6195
410	2860	6188
411	2868	6182
412	2874	6174
413	2881	6166
414	2889	6162
415	2896	6155
416	2903	6148
417	2909	6139
418	2916	6131
419	2923	6124
420	2930	6117
421	2937	6110
422	2943	6102
423	2949	6094
424	2956	6087
425	2962	6078
426	2970	6072
427	2976	6064
428	2982	6056
429	2989	6049
430	2996	6042
431	3003	6035
432	3010	6028
433	3017	6020
434	3023	6012
435	3030	6004
436	3037	5997
437	3043	5990
438	3050	5983
439	3057	5975
440	3063	5967
441	3070	5959
442	3078	5954
443	3084	5946
444	3092	5942
445	3099	5935
446	3106	5928
447	3113	5921
448	3121	5915
449	3127	5908
450	3135	5902
451	3142	5895
452	3149	5889
453	3157	5883
454	3163	5875
455	3170	5868
456	3177	5861
457	3184	5854
458	3191	5846
459	3198	5839
460	3205	5833
461	3211	5825
462	3218	5818
463	3225	5810
464	3231	5803
465	3238	5795
466	3244	5787
467	3251	5780
468	3257	5772
469	3264	5764
470	3271	5757
471	3278	5750
472	3284	5743
473	3292	5737
474	3298	5729
475	3306	5723
476	3313	5717
477	3321	5711
478	3327	5703
479	3334	5696
480	3340	5688
481	3346	5680
482	3353	5672
483	3360	5665
484	3367	5659
485	3375	5653
486	3381	5645
487	3388	5637
488	3394	5629
489	3400	5622
490	3408	5615
491	3415	5608
492	3421	5600
493	3428	5594
494	3435	5586
495	3442	5579
496	3448	5572
497	3455	5564
498	3461	5556
499	3467	5548
500	3474	5541
501	3481	5534
502	3488	5527
503	3494	5519
504	3501	5511
505	3508	5505
506	3515	5498
507	3522	5491
508	3529	5485
509	3536	5477
510	3542	5469
511	3548	5462
512	3555	5455
513	3562	5447
514	3568	5439
515	3575	5432
516	3581	5424
517	3588	5417
518	3595	5410
519	3601	5402
520	3608	5394
521	3614	5387
522	3621	5380
523	3628	5373
524	3634	5365
525	3641	5358
526	3648	5351
527	3655	5344
528	3661	5336
529	3668	5329
530	3674	5321
531	3681	5314
532	3688	5308
533	3695	5301
534	3702	5293
535	3708	5286
536	3715	5278
537	3722	5271
538	3728	5264
539	3735	5257
540	3742	5250
541	3748	5242
542	3755	5235
543	3762	5228
544	3768	5221
545	3775	5213
546	3781	5206
547	3788	5198
548	3795	5192
549	3802	5184
550	3808	5177
551	3815	5170
552	3821	5162
553	3828	5155
554	3834	5147
555	3841	5140
556	3847	5132
557	3854	5125
558	3861	5118
559	3867	5110
560	3874	5103
561	3880	5095
562	3886	5087
563	3892	5080
564	3899	5072
565	3906	5065
566	3912	5058
567	3919	5050
568	3926	5044
569	3933	5037
570	3940	5030
571	3948	5024
572	3955	5018
573	3961	5010
574	3968	5004
575	3975	4996
576	3981	4989
577	3988	4982
578	3994	4974
579	4001	4967
580	4008	4960
581	4015	4954
582	4022	4947
583	4029	4939
584	4035	4932
585	4041	4924
586	4047	4916
587	4054	4909
588	4060	4901
589	4067	4894
590	4073	4887
591	4080	4880
592	4087	4872
593	4093	4865
594	4099	4857
595	4106	4850
596	4113	4843
597	4119	4835
598	4125	4828
599	4132	4821
600	4139	4814
601	4146	4808
602	4154	4801
603	4161	4794
604	4167	4787
605	4174	4780
606	4181	4774
607	4188	4766
608	4195	4760
609	4202	4753
610	4209	4746
611	4215	4739
612	4221	4731
613	4228	4724
614	4234	4716
615	4241	4709
616	4247	4701
617	4253	4694
618	4259	4686
619	4266	4679
620	4273	4672
621	4279	4665
622	4286	4658
623	4293	4650
624	4299	4643
625	4305	4636
626	4312	4628
627	4318	4620
628	4324	4613
629	4331	4606
630	4337	4598
631	4344	4591
632	4351	4584
633	4358	4578
634	4364	4571
635	4371	4563
636	4377	4556
637	4384	4549
638	4390	4541
639	4396	4534
640	4403	4526
641	4409	4519
642	4415	4511
643	4421	4503
644	4427	4495
645	4433	4488
646	4439	4480
647	4445	4472
648	4451	4465
649	4458	4458
650	4464	4450
651	4470	4443
652	4476	4435
653	4482	4427
654	4488	4419
655	4494	4412
656	4500	4404
657	4506	4397
658	4513	4390
659	4520	4383
660	4526	4375
661	4532	4368
662	4539	4361
663	4546	4354
664	4552	4346
665	4558	4339
666	4564	4331
667	4570	4324
668	4576	4316
669	4582	4309
